売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
84821,180820,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84822,180820,45,株式会社アイワライフネット                      ,コーポ三沢　102号室                             ,防災,1,,,,,,,,,,,,
84825,180820,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
84826,180820,48,有限会社レインボーシステムズ                    ,パルビル　電球交換                              ,電気,1,,,,,,,,,,,,
84840,180820,82,有限会社藤堂水道商会                            ,西浜現場                                        ,防災,1,,,,,,,,,,,,
84824,180820,199,株式会社アイセン                                ,株式会社アイセン様本社社屋                      ,電気,1,,,,,,,,,,,,
84791,180820,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84834,180820,433,医療法人三光会　かがやきくらぶ                  ,風呂場手すり再取付                              ,電気,1,,,,,,,,,,,,
84942,180820,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84947,180820,803,和歌山トヨタ自動車株式会社                      ,消防設備保守点検（機器点検）                    ,防災,1,,,,,,,,,,,,
84823,180820,950,浅井建設株式会社                                ,ピュアネス野崎 様                               ,防災,1,,,,,,,,,,,,
84944,180819,36,有限会社紀州エンジニアリング                    ,御坊市役所（防火設備検査）                      ,防災,1,,,,,,,,,,,,
84856,180819,616,メディカルメイト株式会社                        ,寝屋川生野病院アンギオ室改修工事                ,防災,1,,,,,,,,,,,,
84835,180818,38,伸和電設株式会社                                ,見積番号：239                                   ,防災,1,,,,,,,,,,,,
84804,180817,45,株式会社アイワライフネット                      ,プレジール加納Ⅰ　201号室                       ,防災,1,,,,,,,,,,,,
84805,180817,45,株式会社アイワライフネット                      ,グリーンフル湯川　102号室                       ,防災,1,,,,,,,,,,,,
84806,180817,45,株式会社アイワライフネット                      ,ハイツサンスイ　202号室                         ,防災,1,,,,,,,,,,,,
84860,180817,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84851,180816,15,泉州防災株式会社                                ,ライオンズマンション塩屋                        ,防災,1,,,,,,,,,,,,
84871,180816,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
84941,180816,146,株式会社 シュテルン和歌山                       ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84877,180816,616,メディカルメイト株式会社                        ,すみや整形外科分                                ,電気,1,,,,,,,,,,,,
84948,180816,956,ピュアネス野崎                                  ,ピュアネス野崎 様                               ,防災,1,,,,,,,,,,,,
84812,180810,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
84810,180810,292,中谷電気工事株式会社                            ,危険物標識「火気厳禁」                          ,防災,1,,,,,,,,,,,,
84813,180810,409,　　佐藤　洋一                                  ,配管調査                                        ,電気,1,,,,,,,,,,,,
84820,180810,578,中矢電設                                        ,ＪＡならけん牧野農産物直売所                    ,防災,1,,,,,,,,,,,,
84788,180809,45,株式会社アイワライフネット                      ,リバージュ貴　Ｂ棟　211号室                     ,防災,1,,,,,,,,,,,,
84878,180809,141,株式会社オーティーエル                          ,(仮称)池田天神Ｍ計画                            ,防災,1,,,,,,,,,,,,
84841,180809,202,ルイージインズ株式会社                          ,大阪市旭区現場                                  ,電気,1,,,,,,,,,,,,
84874,180809,705,株式会社　春台設備                              ,岸和田徳州会病院                                ,防災,1,,,,,,,,,,,,
84895,180809,751,岡野消防設備株式会社                            ,123塩屋店                                       ,防災,1,,,,,,,,,,,,
84802,180808,871,医療法人三徳会　かわむら医院                    ,かわむら医院様2階休憩室エアコン取付工事         ,電気,1,,,,,,,,,,,,
84831,180808,881,株式会社赤土建設                                ,初島電設様　電気工事                            ,電気,1,,,,,,,,,,,,
84872,180807,15,泉州防災株式会社                                ,ライオンズマンション船戸                        ,防災,1,,,,,,,,,,,,
84859,180807,419,綜合警備保障株式会社                            ,㈱サンレックス新社屋                            ,防災,1,,,,,,,,,,,,
84830,180807,663,アバローム紀の国                                ,地下1階機械室誘導灯取替工事                     ,防災,1,,,,,,,,,,,,
84896,180807,751,岡野消防設備株式会社                            ,123鶴橋店                                       ,防災,1,,,,,,,,,,,,
84897,180807,751,岡野消防設備株式会社                            ,123＋Ｎ大阪本店                                 ,防災,1,,,,,,,,,,,,
84898,180807,751,岡野消防設備株式会社                            ,123ファースト八尾店                             ,防災,1,,,,,,,,,,,,
84949,180806,47,ビジネスイン南海                                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
85165,180806,582,やすらぎの郷　メゾンドシンフォニー              ,排水管取替工事                                  ,電気,1,,,,,,,,,,,,
84828,180806,663,アバローム紀の国                                ,10階屋内階段側誘導灯取替工事                    ,防災,1,,,,,,,,,,,,
84829,180806,663,アバローム紀の国                                ,9階屋内階段側誘導灯取替工事                     ,防災,1,,,,,,,,,,,,
84889,180806,751,岡野消防設備株式会社                            ,マスターズゴルフガーデン三木                    ,防災,1,,,,,,,,,,,,
84800,180803,35,株式会社葵消防設備                              ,納品                                            ,防災,1,,,,,,,,,,,,
84815,180802,19,身体障害者授産施設小倉園                        ,すだれ取付工事                                  ,電気,1,,,,,,,,,,,,
84814,180802,126,株式会社狩谷電気店                              ,消火器設置台                                    ,防災,1,,,,,,,,,,,,
84892,180802,751,岡野消防設備株式会社                            ,コーナン　国体道路店                            ,防災,1,,,,,,,,,,,,
84787,180801,397,株式会社マキカンパニー                          ,2階寮側誤報感知器取替                           ,防災,1,,,,,,,,,,,,
84818,180801,418,　　近藤                                        ,エアコン撤去・取付工事（材工共）                ,電気,1,,,,,,,,,,,,
84749,180731,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84768,180731,177,第一電機設備工業株式会社                        ,HOTEL　EPICHARIS                                ,電気,1,,,,,,,,,,,,
84792,180731,207,ニッタン株式会社　和歌山営業所                  ,各配水池消防用設備点検業務委託                  ,防災,1,,,,,,,,,,,,
84767,180731,259,アサカワリフォーム株式会社                      ,エクロールプラザ「椿」エアコン清掃              ,電気,1,,,,,,,,,,,,
84769,180731,372,株式会社吉村塗装工業所                          ,消防設備保守点検後不備改修工事                  ,防災,1,,,,,,,,,,,,
84756,180731,586,浅井                                            ,エコキュートリモコン取替                        ,電気,1,,,,,,,,,,,,
84766,180731,739,株式会社　原庄組                                ,旧 岡徳楼 第Ⅱ期改修工事に伴う設備工事          ,電気,1,,,,,,,,,,,,
84774,180731,751,岡野消防設備株式会社                            ,延田ビル「SOGNI di SOGNI」                      ,防災,1,,,,,,,,,,,,
84785,180731,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84775,180730,751,岡野消防設備株式会社                            ,123長吉店                                       ,防災,1,,,,,,,,,,,,
84781,180730,751,岡野消防設備株式会社                            ,納品                                            ,防災,1,,,,,,,,,,,,
84760,180730,931,　　浅野                                        ,エアコン新設に伴う電源工事                      ,電気,1,,,,,,,,,,,,
