売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
75957,120325,15,泉州防災株式会社                                ,延田ビル２階                                    ,防災,1,,,,,,,,,,,,
75966,120325,15,泉州防災株式会社                                ,LMﾘﾊﾞｰｻｲﾄﾞ布施屋　　消防設備保守点検            ,防災,1,,,,,,,,,,,,
75967,120323,171,堀口整形外科病院                                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
75897,120322,128,小川電機株式会社　御坊営業所                    ,機械泡消火器　3L                                ,防災,1,,,,,,,,,,,,
76055,120321,45,株式会社アイワライフネット                      ,ラフォーレ壱番館                                ,防災,1,,,,,,,,,,,,
75935,120320,15,泉州防災株式会社                                ,鶴見緑地駅工事                                  ,防災,1,,,,,,,,,,,,
75946,120320,15,泉州防災株式会社                                ,ホームズ尼崎                                    ,防災,1,,,,,,,,,,,,
75962,120320,15,泉州防災株式会社                                ,パチンコ1・2・3塩屋店　消防設備点検             ,防災,1,,,,,,,,,,,,
75916,120320,16,株式会社泉消防設備                              ,高石市市役所　消防設備点検                      ,防災,1,,,,,,,,,,,,
75924,120320,16,株式会社泉消防設備                              ,貴志川ゴルフ　修理                              ,防災,1,,,,,,,,,,,,
75950,120320,19,身体障害者授産施設小倉園                        ,消防設備保守点検（ｽﾌﾟﾘﾝｸﾗｰ設備追加）            ,防災,1,,,,,,,,,,,,
75907,120320,20,和歌山県知事　仁坂吉伸                          ,議員会館の自動火災報知設備等の保守点検          ,防災,1,,,,,,,,,,,,
75925,120320,30,冨岡電気                                        ,鷺の森ﾏﾝｼｮﾝ（美容室）配線等工事                 ,防災,1,,,,,,,,,,,,
75944,120320,35,株式会社葵消防設備                              ,光電式ｽﾎﾟｯﾄ型煙感知器2種（ﾍﾞｰｽ共） ﾆｯﾀﾝ         ,防災,1,,,,,,,,,,,,
75976,120320,35,株式会社葵消防設備                              ,差動式感知器２種（ﾍﾞｰｽ共）能美製                ,防災,1,,,,,,,,,,,,
75977,120320,35,株式会社葵消防設備                              ,CJC物件　感知器交換及び消防検査                 ,防災,1,,,,,,,,,,,,
75942,120320,36,有限会社紀州エンジニアリング                    ,旭化成　受信機不備調査                          ,防災,1,,,,,,,,,,,,
75943,120320,38,伸和電設株式会社                                ,御坊広域清掃ｾﾝﾀｰ消防設備点検　総合点検          ,防災,1,,,,,,,,,,,,
75921,120320,39,有限会社マイクリエイト                          ,ドリーム21　カメラ配線不良修理                  ,防災,1,,,,,,,,,,,,
75952,120320,40,三洋マリン建設株式会社                          ,ABC10型消火器回収                               ,防災,1,,,,,,,,,,,,
75898,120320,45,株式会社アイワライフネット                      ,キューブＮ　住警器取付（機器共）                ,防災,1,,,,,,,,,,,,
75900,120320,45,株式会社アイワライフネット                      ,フレグランス粟A・B棟                            ,防災,1,,,,,,,,,,,,
75901,120320,45,株式会社アイワライフネット                      ,グリーンフルさの                                ,防災,1,,,,,,,,,,,,
75902,120320,45,株式会社アイワライフネット                      ,成和マンション                                  ,防災,1,,,,,,,,,,,,
75904,120320,45,株式会社アイワライフネット                      ,グリーンフル堀井                                ,防災,1,,,,,,,,,,,,
75906,120320,45,株式会社アイワライフネット                      ,ルシェール上兵庫　　消防設備点検                ,防災,1,,,,,,,,,,,,
75941,120320,48,有限会社レインボーシステムズ                    ,3月15日　ダイヤモンドプラザ電球等交換           ,防災,1,,,,,,,,,,,,
75949,120320,48,有限会社レインボーシステムズ                    ,2月29日 エクロールプラザ　電球交換              ,電気,1,,,,,,,,,,,,
75956,120320,49,株式会社堀田組                                  ,10921-307　三菱消防設備点検後改修               ,防災,1,,,,,,,,,,,,
75896,120320,53,紀北防災                                        ,粉末ABC消火器　10型                             ,防災,1,,,,,,,,,,,,
75963,120320,53,紀北防災                                        ,粉末ABC消火器　10型 処分費                      ,防災,1,,,,,,,,,,,,
75964,120320,53,紀北防災                                        ,おもと園　消防設備保守点検                      ,防災,1,,,,,,,,,,,,
75948,120320,61,山本電気株式会社                                ,紀伊中学校　変電設備届出作成費                  ,防災,1,,,,,,,,,,,,
76000,120320,63,公立大学法人和歌山県立医科大学                  ,ｶﾞｽ漏れｾﾝｻｰ                                     ,防災,1,,,,,,,,,,,,
75951,120320,77,株式会社関防                                    ,北警察バッテリー交換                            ,防災,1,,,,,,,,,,,,
75895,120320,138,北畑不動産株式会社                              ,野田テナント　受信機バッテリー交換              ,防災,1,,,,,,,,,,,,
75926,120320,152,有限会社いわでん                                ,なでしこホーム　自火報・火災通報工事            ,防災,1,,,,,,,,,,,,
75928,120320,152,有限会社いわでん                                ,水鉄ｶﾞｰﾃﾞﾝﾊﾟｰｸ　非常照明点検及び書類作成        ,防災,1,,,,,,,,,,,,
75914,120320,181,株式会社青木実業                                ,紀伊風土記の丘合併浄化槽設置工事                ,防災,1,,,,,,,,,,,,
75918,120320,191,アルプデンキ                                    ,送受話器                                        ,電気,1,,,,,,,,,,,,
75920,120320,191,アルプデンキ                                    ,辻整形外科病院　　　　消防設備保守点検          ,防災,1,,,,,,,,,,,,
75961,120320,221,有限会社泰洋電機                                ,リハビリセンター                                ,防災,1,,,,,,,,,,,,
75923,120320,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様                            ,防災,1,,,,,,,,,,,,
76014,120320,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様                            ,防災,1,,,,,,,,,,,,
75955,120320,292,中谷電気工事株式会社                            ,JA紀北かわかみ地域食材供給施設新築工事          ,防災,1,,,,,,,,,,,,
75908,120320,314,和歌山市長　大橋建一                            ,中央終末処理場及び各ポンプ場                    ,防災,1,,,,,,,,,,,,
75970,120320,375,住宅福祉総合ケアセンター                        ,あがら花まる　1　消防設備保守点検               ,防災,1,,,,,,,,,,,,
76005,120320,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
75972,120320,419,綜合警備保障株式会社                            ,スズキ自販和歌山　消防設備保守点検後改修        ,防災,1,,,,,,,,,,,,
75958,120320,489,三幸電気株式会社                                ,弘龍庵和歌山道場　消防設備保守点検              ,防災,1,,,,,,,,,,,,
75922,120320,494,新栄電気株式会社                                ,岬高校　感知器取替工事                          ,防災,1,,,,,,,,,,,,
75965,120320,579,ＴＫＬＣ株式会社                                ,有田市内各施設消防用保守点検（機器点検）        ,防災,1,,,,,,,,,,,,
76002,120320,608,エイシン設備工業株式会社                        ,高齢者専用賃貸住宅新築工事                      ,防災,1,,,,,,,,,,,,
75971,120320,609,株式会社　広域有田　わかばの郷                  ,わかばの郷　スプリンクラー設備工事              ,防災,1,,,,,,,,,,,,
75893,120319,112,積和不動産関西株式会社                          , ラベニューコスモ　消火器交換                   ,防災,1,,,,,,,,,,,,
75890,120316,118,株式会社たけでん                                ,注番：DEC0302                                   ,防災,1,,,,,,,,,,,,
75886,120316,579,ＴＫＬＣ株式会社                                ,有田市民病院　MRI室                             ,防災,1,,,,,,,,,,,,
75883,120315,35,株式会社葵消防設備                              ,3/14　粉末ABC消火器　10型                       ,防災,1,,,,,,,,,,,,
75881,120315,71,小川電機株式会社　伊都営業所                    ,救護施設悠久の郷                                ,防災,1,,,,,,,,,,,,
75882,120315,130,小川電機株式会社　有田営業所                    ,タカショウテント                                ,防災,1,,,,,,,,,,,,
75884,120315,314,和歌山市長　大橋建一                            ,ＪＲ和歌山駅前広場便所改修電気設備工事          ,電気,1,,,,,,,,,,,,
75885,120315,572,村本建設株式会社                                ,（仮称）四季の森なごみ新築工事　出来高          ,防災,1,,,,,,,,,,,,
75984,120315,611,株式会社浅井良工務店                            ,武田邸新築工事                                  ,電気,1,,,,,,,,,,,,
76161,120315,611,株式会社浅井良工務店                            ,武田邸　仮設工事                                ,電気,1,,,,,,,,,,,,
75876,120314,373,和田興業                                        ,朝日プラザ中之島 102号室 リフォーム工事         ,電気,1,,,,,,,,,,,,
75960,120312,15,泉州防災株式会社                                ,LM和歌山中松江　　消防設備保守点検              ,防災,1,,,,,,,,,,,,
75872,120308,53,紀北防災                                        ,粉末ABC消火器　10型                             ,防災,1,,,,,,,,,,,,
75873,120308,259,アサカワリフォーム株式会社                      ,ブラケット                                      ,電気,1,,,,,,,,,,,,
75871,120306,507,有限会社　西日本マインド                        ,グループホームこのみ　消防設備保守点検          ,防災,1,,,,,,,,,,,,
75869,120305,35,株式会社葵消防設備                              ,作業着（パンツ）85cm                            ,防災,1,,,,,,,,,,,,
75865,120302,71,小川電機株式会社　伊都営業所                    ,蓄圧式粉末消火器　（アルテシモ）                ,防災,1,,,,,,,,,,,,
75866,120302,71,小川電機株式会社　伊都営業所                    ,消火器リサイクルシール                          ,防災,1,,,,,,,,,,,,
75862,120229,595, 株式会社LIXILニッタン　関西支社                ,データセンター電気設備工事                      ,防災,1,,,,,,,,,,,,
75858,120228,156,株式会社たけでん                                ,和歌山高校　自動火災報知設備工事                ,防災,1,,,,,,,,,,,,
75859,120225,15,泉州防災株式会社                                ,LM和歌山十番丁　1101号室ｺﾞﾑﾊﾟｯｷﾝ取替            ,防災,1,,,,,,,,,,,,
75860,120225,15,泉州防災株式会社                                ,ｼﾃｨﾜｶﾔﾏ 　消防設備保守点検（総合点検）          ,防災,1,,,,,,,,,,,,
75832,120222,118,株式会社たけでん                                ,注番：DEB6130                                   ,防災,1,,,,,,,,,,,,
75828,120221,42,小笠原電気株式会社                              ,ピア作業所　　消防設備保守点検                  ,防災,1,,,,,,,,,,,,
75821,120221,45,株式会社アイワライフネット                      ,神前テナント                                    ,防災,1,,,,,,,,,,,,
75824,120221,45,株式会社アイワライフネット                      ,グリーンフルさだ　消火器ﾎﾞｯｸｽ　10型用           ,防災,1,,,,,,,,,,,,
75825,120221,131,小川電機株式会社　和歌山営業所                  ,盤加工費                                        ,防災,1,,,,,,,,,,,,
75826,120221,131,小川電機株式会社　和歌山営業所                  ,特別値引                                        ,防災,1,,,,,,,,,,,,
75830,120221,291,株式会社　ドゥ・オペレーション                  ,ホテルシルフ様                                  ,防災,1,,,,,,,,,,,,
75843,120220,16,株式会社泉消防設備                              ,エアウォーター 　発電機修理                     ,防災,1,,,,,,,,,,,,
75816,120220,35,株式会社葵消防設備                              ,きびグループホーム自動火災報知設備工事          ,防災,1,,,,,,,,,,,,
75848,120220,35,株式会社葵消防設備                              ,12月16日　萩野　応援                            ,防災,1,,,,,,,,,,,,
75849,120220,35,株式会社葵消防設備                              ,ハート＆ハート西安上店　安定器取替・結線        ,防災,1,,,,,,,,,,,,
75850,120220,35,株式会社葵消防設備                              ,岩出西松屋店　ｲﾝﾀｰﾎﾝ親機取替                    ,電気,1,,,,,,,,,,,,
75853,120220,36,有限会社紀州エンジニアリング                    ,下富安団地　消防設備点検（機器点検）            ,防災,1,,,,,,,,,,,,
75836,120220,38,伸和電設株式会社                                ,三菱3工場2階サーバー室                          ,電気,1,,,,,,,,,,,,
75838,120220,38,伸和電設株式会社                                ,2月18日三菱4工場　応援                          ,電気,1,,,,,,,,,,,,
75899,120220,45,株式会社アイワライフネット                      ,グリーンフル梅田                                ,防災,1,,,,,,,,,,,,
75844,120220,48,有限会社レインボーシステムズ                    ,2月15日 エクロールプラザ　電球交換              ,電気,1,,,,,,,,,,,,
75845,120220,48,有限会社レインボーシステムズ                    ,2月15日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換               ,電気,1,,,,,,,,,,,,
75846,120220,48,有限会社レインボーシステムズ                    ,2月15日　ダイヤモンドプラザ電球等交換           ,電気,1,,,,,,,,,,,,
75847,120220,48,有限会社レインボーシステムズ                    ,2月20日 エクロールプラザ　電球交換              ,電気,1,,,,,,,,,,,,
75837,120220,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
75840,120220,60,有限会社梶本無線商会                            ,住金LT水銀灯配管配線切替工事                    ,防災,1,,,,,,,,,,,,
75841,120220,60,有限会社梶本無線商会                            ,住金　LT横休憩所感知器工事                      ,防災,1,,,,,,,,,,,,
75891,120220,112,積和不動産関西株式会社                          ,シャーメゾン山中　消火器交換                    ,防災,1,,,,,,,,,,,,
75854,120220,126,株式会社狩谷電気店                              ,受信機予備ﾊﾞｯﾃﾘ-　20-S113A　DC24V1.2AH          ,防災,1,,,,,,,,,,,,
75815,120220,167,建築工房アドミック                              ,藤本食品様　断線修理                            ,防災,1,,,,,,,,,,,,
75842,120220,181,株式会社青木実業                                ,シンフォニービル様                              ,電気,1,,,,,,,,,,,,
75818,120220,291,株式会社　ドゥ・オペレーション                  ,ホテルシルフ様  パイプ修理　２０６号室          ,防災,1,,,,,,,,,,,,
75863,120220,291,株式会社　ドゥ・オペレーション                  ,サラ・ベルナーレ東大阪　消防設備保守点検        ,防災,1,,,,,,,,,,,,
75877,120220,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
75857,120220,396,大和リビング株式会社　関西支店                  ,2月19日・20日点検                               ,防災,1,,,,,,,,,,,,
75833,120220,433,医療法人三光会　かがやきくらぶ                  ,１階厨房シンク水栓取替工事                      ,電気,1,,,,,,,,,,,,
75834,120220,433,医療法人三光会　かがやきくらぶ                  ,かがやきクラブ太陽ソーラ本体取替工事            ,防災,1,,,,,,,,,,,,
75822,120220,437,株式会社　関口建設                              ,㈱尾高製作所   消防設備保守点検                 ,防災,1,,,,,,,,,,,,
75823,120220,437,株式会社　関口建設                              ,㈱尾高製作所   消防設備保守点検後改修           ,防災,1,,,,,,,,,,,,
75839,120220,494,新栄電気株式会社                                ,多奈川小学校                                    ,防災,1,,,,,,,,,,,,
75851,120220,547,株式会社ミヤザワ建設                            ,井村邸工事                                      ,防災,1,,,,,,,,,,,,
75852,120220,547,株式会社ミヤザワ建設                            ,阪急ミドリ工事                                  ,防災,1,,,,,,,,,,,,
75835,120220,548,前田電気                                        ,うめ喫茶店　撤去費                              ,防災,1,,,,,,,,,,,,
75831,120220,556,山東                                            ,2階照明器具取替（機器共）                       ,電気,1,,,,,,,,,,,,
75879,120220,572,村本建設株式会社                                ,（仮称）四季の森なごみ新築工事　出来高          ,防災,1,,,,,,,,,,,,
75814,120220,583,常伸建設                                        ,NKビル様　　　消防設備保守点検                  ,防災,1,,,,,,,,,,,,
75794,120217,45,株式会社アイワライフネット                      ,サクラビル                                      ,防災,1,,,,,,,,,,,,
75795,120217,45,株式会社アイワライフネット                      ,グランディール21                                ,防災,1,,,,,,,,,,,,
75796,120217,45,株式会社アイワライフネット                      ,プラザレヨン                                    ,防災,1,,,,,,,,,,,,
75797,120217,45,株式会社アイワライフネット                      ,グリーンフルタカタＡ・Ｂ棟 Ｂ棟208号室          ,防災,1,,,,,,,,,,,,
75798,120217,45,株式会社アイワライフネット                      ,アネシス・ヒロ　305号室                         ,防災,1,,,,,,,,,,,,
75799,120217,45,株式会社アイワライフネット                      ,湊北町2丁目有本1戸建                            ,防災,1,,,,,,,,,,,,
75800,120217,45,株式会社アイワライフネット                      ,キューブＮ Ａ棟201号室                          ,防災,1,,,,,,,,,,,,
75801,120217,45,株式会社アイワライフネット                      ,グリーンフルカルム                              ,防災,1,,,,,,,,,,,,
75802,120217,45,株式会社アイワライフネット                      ,グレイス木ノ本 406号室                          ,防災,1,,,,,,,,,,,,
75803,120217,45,株式会社アイワライフネット                      ,グレイス木ノ本 　106号室                        ,防災,1,,,,,,,,,,,,
75804,120217,45,株式会社アイワライフネット                      ,ソレアード赤坂　消防設備保守点検（総合）        ,防災,1,,,,,,,,,,,,
75805,120217,45,株式会社アイワライフネット                      ,ソレアード菖蒲　消防設備保守点検（総合）        ,防災,1,,,,,,,,,,,,
75806,120217,45,株式会社アイワライフネット                      ,グリーンフルたまい　消防設備保守点検            ,防災,1,,,,,,,,,,,,
75807,120217,45,株式会社アイワライフネット                      ,グリーンフルたまい                              ,防災,1,,,,,,,,,,,,
75808,120217,45,株式会社アイワライフネット                      ,ハイム真輝　　　　　消防設備保守点検            ,防災,1,,,,,,,,,,,,
75810,120217,183,有限会社プラスケア                              ,ディイサービス草原　スプリンクラー工事          ,防災,1,,,,,,,,,,,,
75811,120217,314,和歌山市長　大橋建一                            ,中央卸売市場管理棟自火報工事                    ,電気,1,,,,,,,,,,,,
75793,120217,326,株式会社サイワテック                            ,ドリーム岸和田修理                              ,防災,1,,,,,,,,,,,,
75790,120217,607,シンワ技研株式会社                              ,はまゆうホーム　スプリンクラー設置工事          ,防災,1,,,,,,,,,,,,
75785,120215,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様　消防設備保守点検          ,防災,1,,,,,,,,,,,,
75780,120215,287,ヘルパーステーション内原                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
