売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
82716,170131,973,株式会社大設備                                  ,門真市寿町計画                                  ,防災,1,,,,,,,,,,,,
82727,170130,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
82780,170130,65,崇教真光 紀の川準道場                           ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
82721,170130,808,大仲歯科医院                                    ,大中歯科医院　様　診療所                        ,電気,1,,,,,,,,,,,,
82736,170130,977,株式会社川昌工務店                              ,ヤマハ音楽教室　ユニスタイル和歌山              ,防災,1,,,,,,,,,,,,
82790,170129,45,株式会社アイワライフネット                      ,プリシェール関戸                                ,防災,1,,,,,,,,,,,,
82856,170128,141,株式会社オーティーエル                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
82846,170128,616,メディカルメイト株式会社                        ,大阪労災病院OP-B室改修工事                      ,防災,1,,,,,,,,,,,,
82738,170128,751,岡野消防設備株式会社                            ,ナンカイ工業㈱                                  ,防災,1,,,,,,,,,,,,
82731,170127,15,泉州防災株式会社                                ,㈱真秀コールドフーズ(仮称)佐川町工場            ,防災,1,,,,,,,,,,,,
82805,170127,519,中川電気工事店                                  ,介護老人保健施設ローズ                          ,防災,1,,,,,,,,,,,,
82767,170127,555,社会福祉法人　一会                              ,介護老人保健施設ローズ                          ,防災,1,,,,,,,,,,,,
82725,170127,834,株式会社ユニトラ                                ,SUR大学受験合格指導会　富田林西口会場           ,防災,1,,,,,,,,,,,,
82811,170126,42,小笠原電気株式会社                              ,ビジネスホテル圭                                ,防災,1,,,,,,,,,,,,
82789,170126,45,株式会社アイワライフネット                      ,上野ハイツⅠ/上野ハイツⅡ　205号室              ,防災,1,,,,,,,,,,,,
82729,170125,15,泉州防災株式会社                                ,堺市民芸術文化ホール建設工事　応援              ,防災,1,,,,,,,,,,,,
82787,170125,45,株式会社アイワライフネット                      ,グリーンフルブルーム　102号室                   ,防災,1,,,,,,,,,,,,
82788,170125,45,株式会社アイワライフネット                      ,ヴィラヤナセ                                    ,防災,1,,,,,,,,,,,,
82858,170125,751,岡野消防設備株式会社                            ,123鶴橋店                                       ,防災,1,,,,,,,,,,,,
82859,170125,751,岡野消防設備株式会社                            ,123松茂店                                       ,防災,1,,,,,,,,,,,,
82844,170124,751,岡野消防設備株式会社                            ,NESTA RESORT KOBE                               ,防災,1,,,,,,,,,,,,
82720,170124,886,カラオケフェスタ　海南店                        ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
82698,170123,292,中谷電気工事株式会社                            ,四郷撰果場                                      ,防災,1,,,,,,,,,,,,
82717,170123,979,トーヨーカネツ                                  ,木本産業　消防設備保守点検に伴う修理            ,防災,1,,,,,,,,,,,,
82732,170122,729,ＡＬＳＯＫビルサービス株式会社                  ,セキワステージ金池                              ,防災,1,,,,,,,,,,,,
82784,170121,45,株式会社アイワライフネット                      ,四番丁ハイム　301号室                           ,防災,1,,,,,,,,,,,,
