売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
75158,110805,15,泉州防災株式会社                                ,LM和歌山紀伊　　　消防設備保守点検              ,防災,1,,,,,,,,,,,,
75208,110801,48,有限会社レインボーシステムズ                    ,8月1日　エクロールプラザ　電球交換              ,電気,1,,,,,,,,,,,,
75209,110801,48,有限会社レインボーシステムズ                    ,8月1日　ダイヤモンドプラザ電球等交換            ,電気,1,,,,,,,,,,,,
75210,110801,48,有限会社レインボーシステムズ                    ,8月1日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換                ,電気,1,,,,,,,,,,,,
75149,110801,419,綜合警備保障株式会社                            ,白浜ビーチゴルフクラブ様                        ,防災,1,,,,,,,,,,,,
75156,110801,558,岡崎                                            ,消防設備点検                                    ,防災,1,,,,,,,,,,,,
75157,110731,133,大和計装株式会社                                ,三菱電機株式会社冷熱ｼｽﾃﾑ製作所                  ,電気,1,,,,,,,,,,,,
75153,110729,118,株式会社たけでん                                ,注番：DEC6001                                   ,防災,1,,,,,,,,,,,,
75122,110726,266,興紀防災設備                                    ,光電式ｽﾎﾟｯﾄ型煙感知器　2種（BV45488）           ,防災,1,,,,,,,,,,,,
75033,110725,15,泉州防災株式会社                                ,P&G修理                                         ,防災,1,,,,,,,,,,,,
75125,110725,15,泉州防災株式会社                                ,（仮称）123布施店新築工事                       ,防災,1,,,,,,,,,,,,
75133,110725,15,泉州防災株式会社                                ,LM和歌山関戸　　　　消防設備保守点検            ,防災,1,,,,,,,,,,,,
75135,110725,15,泉州防災株式会社                                ,日根野ｲｵﾝ地下駐車場配管取替工事                 ,防災,1,,,,,,,,,,,,
75136,110725,15,泉州防災株式会社                                ,R3なんば駅忘れ物センター内工事                  ,防災,1,,,,,,,,,,,,
75137,110725,15,泉州防災株式会社                                ,大島様邸便器取替工事                            ,防災,1,,,,,,,,,,,,
75138,110725,15,泉州防災株式会社                                ,123鶴橋店　換金場移設工事                       ,防災,1,,,,,,,,,,,,
75139,110725,15,泉州防災株式会社                                ,泉佐野アウトレット2185工事                      ,防災,1,,,,,,,,,,,,
75140,110725,15,泉州防災株式会社                                ,泉佐野アウトレット2165工事                      ,防災,1,,,,,,,,,,,,
