売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
87747,201022,751,岡野消防設備株式会社                            ,123＋Nはりまや橋店                              ,防災,1,,,,,,,,,,,,
87748,201022,751,岡野消防設備株式会社                            ,123＋Nはりまや橋店                              ,防災,1,,,,,,,,,,,,
87687,201022,A13,株式会社ナガヤマ                                ,注番：K002                                      ,防災,1,,,,,,,,,,,,
87792,201021,325,南出建設株式会社                                ,御社　事務所                                    ,防災,1,,,,,,,,,,,,
87714,201020,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
87684,201020,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87674,201020,279,オリエントホームズ株式会社                      ,セカンドパーツ様                                ,電気,1,,,,,,,,,,,,
87682,201020,292,中谷電気工事株式会社                            ,和歌山県立医科大学医薬看共同研究施設            ,防災,1,,,,,,,,,,,,
87667,201020,378,積水ハウス不動産関西株式会社                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87739,201020,973,株式会社大設備                                  ,グリーンシャポービル                            ,防災,1,,,,,,,,,,,,
87743,201020,A60,有限会社吉田総合企画                            ,グリーンシャポービル                            ,防災,1,,,,,,,,,,,,
87690,201019,438,株式会社　大野建設                              ,㈱オーエース                                    ,防災,1,,,,,,,,,,,,
87842,201019,546,株式会社江川組                                  ,キングライン　納品                              ,防災,1,,,,,,,,,,,,
87772,201019,652,小川電機株式会社　貝塚営業所                    ,阪南市箱作１グループホーム新築工事              ,防災,1,,,,,,,,,,,,
87731,201017,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87736,201017,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87727,201017,751,岡野消防設備株式会社                            ,アスモ大和郡山                                  ,防災,1,,,,,,,,,,,,
87680,201016,45,株式会社アイワライフネット                      ,セジュールＭ　２０１号室                        ,防災,1,,,,,,,,,,,,
87681,201016,45,株式会社アイワライフネット                      ,マンション光陽Ⅰ　１０６号室                    ,防災,1,,,,,,,,,,,,
87726,201016,751,岡野消防設備株式会社                            ,123田辺店                                       ,防災,1,,,,,,,,,,,,
87705,201015,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
87790,201015,21,有限会社友里園                                  ,消防設備保守点検（機器点検）                    ,防災,1,,,,,,,,,,,,
87646,201015,259,アサカワリフォーム株式会社                      ,ニュース和歌山                                  ,防災,1,,,,,,,,,,,,
87762,201015,616,メディカルメイト株式会社                        ,茨木済生会病院                                  ,防災,1,,,,,,,,,,,,
87785,201015,629,医療法人　準心会  道浦クリニック                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87664,201014,48,有限会社レインボーシステムズ                    ,パルビル　電球交換                              ,電気,1,,,,,,,,,,,,
87665,201014,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
87869,201014,183,有限会社プラスケア                              ,グループホーム草原　様                          ,防災,1,,,,,,,,,,,,
87718,201014,974,紀洋電化                                        ,グループホームやさしさ                          ,防災,1,,,,,,,,,,,,
87704,201013,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
87875,201013,437,株式会社　関口建設                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87797,201013,975,グループホームたかお                            ,グループホームたかお　様                        ,防災,1,,,,,,,,,,,,
87796,201013,976,デイサービスセンターたかお                      ,デイサービスセンターたかお　様                  ,防災,1,,,,,,,,,,,,
87730,201012,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
87761,201012,141,株式会社オーティーエル                          ,ＥＡＴＳＬＡＢＯ　放出東店                      ,防災,1,,,,,,,,,,,,
87640,201012,652,小川電機株式会社　貝塚営業所                    ,阪南市箱作２グループホーム新築工事              ,防災,1,,,,,,,,,,,,
87643,201012,652,小川電機株式会社　貝塚営業所                    ,阪南市箱作２グループホーム新築工事              ,防災,1,,,,,,,,,,,,
87673,201010,279,オリエントホームズ株式会社                      ,吉岡商店様                                      ,電気,1,,,,,,,,,,,,
87668,201010,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87789,201010,761,　林マンション                                  ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87712,201009,15,泉州防災株式会社                                ,イオンモール貝塚店                              ,防災,1,,,,,,,,,,,,
87820,201009,184,長添電工                                        ,オーエバステリア                                ,防災,1,,,,,,,,,,,,
87636,201009,314,和歌山市長　尾花　正啓                          ,紀之川中学校外2校屋内運動場冷暖房電気設         ,電気,1,,,,,,,,,,,,
87639,201009,483,株式会社アクセス                                ,アクセス総合学院　重根校                        ,電気,1,,,,,,,,,,,,
87637,201009,556,　　山東                                        ,エアコン取替工事                                ,電気,1,,,,,,,,,,,,
87749,201009,751,岡野消防設備株式会社                            ,123塩屋店                                       ,防災,1,,,,,,,,,,,,
87760,201009,751,岡野消防設備株式会社                            ,123鶴橋店　喫煙室                               ,防災,1,,,,,,,,,,,,
87671,201009,A56,株式会社大谷洋品店                              ,自動火災報知設備工事                            ,防災,1,,,,,,,,,,,,
87709,201008,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
87711,201008,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
87669,201008,36,有限会社紀州エンジニアリング                    ,ホテルセントラル                                ,防災,1,,,,,,,,,,,,
87683,201007,65,崇教真光 紀の川準道場                           ,消防設備不備改修                                ,防災,1,,,,,,,,,,,,
87795,201007,494,新栄電気株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87734,201007,592,社会福祉法人一会                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87721,201007,728,平井電気                                        ,日置荘西町西部会館                              ,防災,1,,,,,,,,,,,,
87829,201006,38,伸和電設株式会社                                ,見積番号：331                                   ,防災,1,,,,,,,,,,,,
87716,201006,185,浦電器店                                        ,韓丼　和歌山紀三井寺店                          ,防災,1,,,,,,,,,,,,
87786,201006,433,医療法人三光会　かがやきくらぶ                  ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87691,201006,438,株式会社　大野建設                              ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87787,201006,582,やすらぎの郷　メゾンドシンフォニー              ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87911,201005,A42,エース証券株式会社                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87635,201005,A52,社会福祉法人こひつじこども園                    ,自動火災報知設備修理                            ,防災,1,,,,,,,,,,,,
87722,201002,419,綜合警備保障株式会社                            ,太田工作所　実作動試験                          ,防災,1,,,,,,,,,,,,
87728,201002,751,岡野消防設備株式会社                            ,123＋Ｎ松原                                     ,防災,1,,,,,,,,,,,,
87702,201001,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
87766,200930,112,積水ハウス不動産関西株式会社                    ,ラベニュー城山                                  ,防災,1,,,,,,,,,,,,
87767,200930,112,積水ハウス不動産関西株式会社                    ,アメニティ太田                                  ,防災,1,,,,,,,,,,,,
87768,200930,112,積水ハウス不動産関西株式会社                    ,ディアス黒江                                    ,防災,1,,,,,,,,,,,,
87769,200930,112,積水ハウス不動産関西株式会社                    ,フレグランス藤井Ⅱ                              ,防災,1,,,,,,,,,,,,
87770,200930,112,積水ハウス不動産関西株式会社                    ,フレグランス藤井                                ,防災,1,,,,,,,,,,,,
87670,200930,546,株式会社江川組                                  ,タイシン物流㈱倉庫新築工事                      ,防災,1,,,,,,,,,,,,
87622,200930,626,株式会社オフィスエイト                          ,甲南女子大学第１学生会館                        ,防災,1,,,,,,,,,,,,
87623,200930,626,株式会社オフィスエイト                          ,甲南女子大学７号館２・３階                      ,防災,1,,,,,,,,,,,,
87663,200930,630,株式会社山翔建設                                ,立体駐車場仮設工事                              ,電気,1,,,,,,,,,,,,
87579,200930,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87592,200930,751,岡野消防設備株式会社                            ,123水島店                                       ,防災,1,,,,,,,,,,,,
87618,200930,764,大和ハウスリフォーム株式会社                    ,根田諭様蓄電池設置工事                          ,電気,1,,,,,,,,,,,,
87606,200930,A53,北谷　知進                                      ,電源盤及びコンセント工事                        ,電気,1,,,,,,,,,,,,
87616,200930,A54,有限会社　パドマ                                ,ホテル２４                                      ,防災,1,,,,,,,,,,,,
87632,200929,42,小笠原電気株式会社                              ,納品                                            ,電気,1,,,,,,,,,,,,
87732,200929,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
87580,200929,751,岡野消防設備株式会社                            ,スロット123田宮店                               ,防災,1,,,,,,,,,,,,
87582,200929,751,岡野消防設備株式会社                            ,延羽の湯　鶴橋店                                ,防災,1,,,,,,,,,,,,
87798,200929,A62,合資会社ヨロヅヤ                                ,合資会社ヨロヅヤ様                              ,防災,1,,,,,,,,,,,,
87679,200928,45,株式会社アイワライフネット                      ,ハイツときわ　３０２号室                        ,防災,1,,,,,,,,,,,,
87660,200928,122,山植ビル                                        ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87773,200928,652,小川電機株式会社　貝塚営業所                    ,阪南市箱作１グループホーム新築工事              ,防災,1,,,,,,,,,,,,
87737,200928,732,医療法人やすだ 堀口記念病院                     ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
87725,200928,751,岡野消防設備株式会社                            ,容器弁バルブ類点検シール　納品                  ,防災,1,,,,,,,,,,,,
87617,200928,976,デイサービスセンターたかお                      ,デイサービスセンターたかお　様                  ,防災,1,,,,,,,,,,,,
