売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
73581,100520,189,株式会社将勇興産                                ,ジュエリー電球納品　ﾀﾞｲｸﾛﾊﾛｹﾞﾝ電球              ,電気,1,,,,,,,,,,,,
73582,100520,189,株式会社将勇興産                                ,ジュエリー　電球交換（5月6日）                  ,電気,1,,,,,,,,,,,,
73617,100520,189,株式会社将勇興産                                ,カフェローレックス事務所                        ,電気,1,,,,,,,,,,,,
73584,100520,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様　消防設備保守点検          ,防災,1,,,,,,,,,,,,
73564,100520,401,アドレ                                          ,誘導灯　20W                                     ,電気,1,,,,,,,,,,,,
73592,100520,402,ＦＩＮ                                          ,クーラー洗浄費                                  ,電気,1,,,,,,,,,,,,
73612,100520,403,鈴木電機                                        ,愛光園　逆止弁取替                              ,防災,1,,,,,,,,,,,,
73550,100519,3,株式会社 アストライン                           ,消防設備保守点検後修理                          ,防災,1,,,,,,,,,,,,
73553,100519,42,小笠原電気株式会社                              ,木下建設様分                                    ,防災,1,,,,,,,,,,,,
73554,100519,42,小笠原電気株式会社                              ,木下建設様分　追加分                            ,防災,1,,,,,,,,,,,,
73557,100519,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
73558,100519,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
73559,100519,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
73560,100519,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
73555,100519,77,株式会社関防                                    ,島本ﾏﾝｼｮﾝ様                                     ,防災,1,,,,,,,,,,,,
73556,100519,78,塩地電気工業株式会社                            ,粉末ABC10型消火器詰替                           ,防災,1,,,,,,,,,,,,
73551,100519,400,ガラス屋工房                                    ,カメラ付玄関子機　交換                          ,防災,1,,,,,,,,,,,,
73549,100517,53,紀北防災                                        ,光電式ｽﾎﾟｯﾄ型感知器2種(ﾆｯﾀﾝ）                   ,防災,1,,,,,,,,,,,,
73548,100514,174,株式会社松源                                    ,株式会社松源　本店                              ,防災,1,,,,,,,,,,,,
73542,100513,45,株式会社アイワライフネット                      ,ﾊﾟｰｸﾊｳｽJ　消火器4型                             ,防災,1,,,,,,,,,,,,
73543,100513,45,株式会社アイワライフネット                      ,ｳﾞｪﾙｾﾝﾁｭﾘｰ　103号・203号・301号・303号          ,防災,1,,,,,,,,,,,,
73539,100513,64,養護老人ホーム和光院                            ,消防設備保守点検　総合点検                      ,防災,1,,,,,,,,,,,,
73540,100513,73,廣久旅館                                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73544,100513,131,小川電機株式会社　和歌山営業所                  ,盤加工                                          ,電気,1,,,,,,,,,,,,
73545,100513,131,小川電機株式会社　和歌山営業所                  ,VCB交換                                         ,電気,1,,,,,,,,,,,,
73546,100513,131,小川電機株式会社　和歌山営業所                  ,値引き                                          ,電気,1,,,,,,,,,,,,
73541,100513,271,医療法人　準心会                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73547,100513,399,高木　史郎                                      ,オリロー使用法                                  ,防災,1,,,,,,,,,,,,
73538,100511,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73535,100510,130,小川電機株式会社　有田営業所                    ,戸田電気様分                                    ,防災,1,,,,,,,,,,,,
73528,100508,2,朝日プラザ中之島管理組合                        ,ﾀﾞｳﾝﾗｲﾄ　27WHLA1487                             ,防災,1,,,,,,,,,,,,
73527,100507,118,株式会社たけでん                                ,注番：DEC-7205                                  ,防災,1,,,,,,,,,,,,
73526,100507,343,株式会社ウェブリーディング                      ,柏原加工㈱様                                    ,防災,1,,,,,,,,,,,,
73517,100430,35,葵消防設備                                      ,差動式ｽﾎﾟｯﾄ型感知器２種 （P端子付）             ,防災,1,,,,,,,,,,,,
73523,100430,394,社団法人　日本写真家協会                        ,照明器具　40W1灯用                              ,電気,1,,,,,,,,,,,,
73513,100428,45,株式会社アイワライフネット                      ,住宅警報器（4月28日）                           ,防災,1,,,,,,,,,,,,
73508,100422,15,泉州防災株式会社                                ,阪神高速　書類整理                              ,防災,1,,,,,,,,,,,,
73510,100422,15,泉州防災株式会社                                ,ｸﾞﾙｰﾌﾟﾎｰﾑときめき （4/7～4/8）                  ,防災,1,,,,,,,,,,,,
73511,100422,15,泉州防災株式会社                                ,P&G本社ﾋﾞﾙ　ｽﾌﾟﾘﾝｸﾗｰ設備改修工事                ,防災,1,,,,,,,,,,,,
73509,100422,326,株式会社サイワテック                            ,連結送水管耐圧点検　放水試験                    ,防災,1,,,,,,,,,,,,
73505,100421,15,泉州防災株式会社                                ,ﾀｷﾓﾄ㈱本社ビル改修                              ,防災,1,,,,,,,,,,,,
73506,100421,15,泉州防災株式会社                                ,西神ｵﾘｴﾝﾀﾙﾎﾃﾙ　11階修理                         ,防災,1,,,,,,,,,,,,
73507,100421,15,泉州防災株式会社                                ,阪神高速高架下　配管工事                        ,防災,1,,,,,,,,,,,,
73519,100420,3,株式会社 アストライン                           ,黒田ﾄﾗﾝｸﾙｰﾑ　　消防設備保守点検                 ,防災,1,,,,,,,,,,,,
73498,100420,21,有限会社友里園                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73488,100420,35,葵消防設備                                      ,シャトーハイツ感知器増設工事                    ,防災,1,,,,,,,,,,,,
73489,100420,37,株式会社阪本電気                                ,三和整骨院　消防手続立会試験費                  ,防災,1,,,,,,,,,,,,
73502,100420,48,有限会社レインボーシステムズ                    ,4月20日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換               ,電気,1,,,,,,,,,,,,
73503,100420,48,有限会社レインボーシステムズ                    ,4月20日　エクロールプラザ電球交換               ,電気,1,,,,,,,,,,,,
73492,100420,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
73504,100420,60,有限会社梶本無線商会                            ,住金　講習代                                    ,電気,1,,,,,,,,,,,,
73487,100420,152,有限会社いわでん                                ,水鉄ｶﾞｰﾃﾞﾝﾊﾟｰｸ　非常照明点検及び書類作成        ,防災,1,,,,,,,,,,,,
73495,100420,157,ビジネスホテルカンヌ海南                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73490,100420,173,有限会社赤土                                    ,三菱電機株式会社 　1Kﾎﾞｲﾗｰ室                    ,防災,1,,,,,,,,,,,,
73497,100420,261,穴蔵                                            ,消防設備点検（総合点検）                        ,防災,1,,,,,,,,,,,,
73496,100420,265,朱ビル                                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73500,100420,265,朱ビル                                          ,消防点検後修理　ﾍﾞﾙ（取替共）                   ,防災,1,,,,,,,,,,,,
73499,100420,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様　消防設備保守点検          ,防災,1,,,,,,,,,,,,
73493,100420,363,ＩＳＥ設計工房                                  ,建築設備定期検査                                ,防災,1,,,,,,,,,,,,
73501,100420,375,住宅福祉総合ケアセンター                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
73512,100420,385,ホーチキサービス株式会社                        ,矢田北小学校自動火災報知設備改修工事            ,防災,1,,,,,,,,,,,,
73524,100420,396,大和リビング　関西支社                          ,ソワサントゥヴァレ　消防設備保守点検            ,防災,1,,,,,,,,,,,,
73478,100419,33,株式会社中井建装                                ,ファミリーハイツ201号室様                       ,電気,1,,,,,,,,,,,,
73471,100419,35,葵消防設備                                      ,観潮様　断線修理                                ,防災,1,,,,,,,,,,,,
73475,100419,38,伸和電設株式会社                                ,三菱三冷応　LANｹｰﾌﾞﾙ配線                        ,電気,1,,,,,,,,,,,,
73480,100419,45,株式会社アイワライフネット                      ,ｸﾞﾘｰﾝﾏﾝｼｮﾝⅠ・Ⅱ　　　消防設備保守点検          ,防災,1,,,,,,,,,,,,
73482,100419,45,株式会社アイワライフネット                      ,ｸﾞﾗﾝﾃﾞｨｰﾙNTⅡ　消火器4型                        ,防災,1,,,,,,,,,,,,
73483,100419,45,株式会社アイワライフネット                      ,ﾊｲﾂﾐﾚﾆｱﾑ21　消火器4型                           ,防災,1,,,,,,,,,,,,
73484,100419,45,株式会社アイワライフネット                      ,四番町ﾊｲﾑ　避難器具（固定式）                   ,防災,1,,,,,,,,,,,,
73470,100419,46,田上電機システム                                ,株式会社共栄フーズ自動火災報知設備工事          ,防災,1,,,,,,,,,,,,
73472,100419,60,有限会社梶本無線商会                            ,住金ステンレス　2F自動火災報知設備工事          ,防災,1,,,,,,,,,,,,
73479,100419,86,株式会社宮本工業                                ,㈱松源　熊取五門店　改装工事                    ,防災,1,,,,,,,,,,,,
73481,100419,112,積和不動産関西株式会社                          ,フレグランス吹上様                              ,防災,1,,,,,,,,,,,,
73477,100419,189,株式会社将勇興産                                ,外部看板　レフ電球                              ,防災,1,,,,,,,,,,,,
