売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
84273,180307,555,社会福祉法人　一会                              ,介護老人保健施設ローズ                          ,防災,1,,,,,,,,,,,,
84246,180306,45,株式会社アイワライフネット                      ,グリーンフル堀井                                ,防災,1,,,,,,,,,,,,
84263,180306,45,株式会社アイワライフネット                      ,サンライフＦ　201号室                           ,防災,1,,,,,,,,,,,,
84362,180306,126,株式会社狩谷電気店                              ,和歌山病院                                      ,防災,1,,,,,,,,,,,,
84220,180306,292,中谷電気工事株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
84305,180306,437,株式会社　関口建設                              ,ヒダカヤ西脇店　非常照明取替工事                ,防災,1,,,,,,,,,,,,
84216,180306,663,アバローム紀の国                                ,地下1階部　誘導灯取替工事                       ,防災,1,,,,,,,,,,,,
84266,180305,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
84261,180305,697,有料老人ホーム　かしの木苑                      ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
84310,180305,751,岡野消防設備株式会社                            ,空港施設㈱ 大阪事業所 運用課　　百瀬様          ,防災,1,,,,,,,,,,,,
84323,180305,751,岡野消防設備株式会社                            ,123ライト八万店                                 ,防災,1,,,,,,,,,,,,
84231,180304,152,有限会社いわでん                                ,グランツ新築工事                                ,防災,1,,,,,,,,,,,,
84233,180304,754,西城商事                                        ,株式会社島精機製作所                            ,防災,1,,,,,,,,,,,,
84247,180303,45,株式会社アイワライフネット                      ,カオスマンション                                ,防災,1,,,,,,,,,,,,
84239,180303,231,株式会社ソーケン                                ,宮前駅前団地・ニューかわなが団地                ,防災,1,,,,,,,,,,,,
84294,180302,141,株式会社オーティーエル                          ,吉祥寺武蔵野カントリーハイツ改修工事            ,防災,1,,,,,,,,,,,,
