売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
74319,101220,45,株式会社アイワライフネット                      ,ポートタウン島橋                                ,防災,1,,,,,,,,,,,,
74320,101220,45,株式会社アイワライフネット                      ,黒川コーポ　住警器取付                          ,防災,1,,,,,,,,,,,,
74321,101220,45,株式会社アイワライフネット                      ,西本ビル　　　　　　　　消防設備保守点検        ,防災,1,,,,,,,,,,,,
74347,101220,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,電気,1,,,,,,,,,,,,
74348,101220,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所１工場        ,防災,1,,,,,,,,,,,,
74376,101220,63,公立大学法人和歌山県立医科大学                  ,防刃手袋ワークウェア　Sサイズ                   ,防災,1,,,,,,,,,,,,
74344,101220,64,社会福祉法人寿敬会                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
74345,101220,64,社会福祉法人寿敬会                              ,消防点検に伴う修理                              ,防災,1,,,,,,,,,,,,
74343,101220,65,崇教真光 紀の川準道場                           ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
74333,101220,77,株式会社関防                                    ,東警察署　カメラ点検                            ,防災,1,,,,,,,,,,,,
74331,101220,141,株式会社オーティーエル                          ,大阪某ビル感知器取替及び増設工事                ,防災,1,,,,,,,,,,,,
74369,101220,167,建築工房アドミック                              ,らぐまんラーメン様                              ,防災,1,,,,,,,,,,,,
74334,101220,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様 　客室感知器取替           ,防災,1,,,,,,,,,,,,
74335,101220,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様                            ,防災,1,,,,,,,,,,,,
74338,101220,322,ＳＳ電気設備                                    ,青岸エネルｷﾞｰセンター様                         ,防災,1,,,,,,,,,,,,
74386,101220,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
