売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
81279,160126,888,　池上                                          ,池上様邸                                        ,電気,1,,,,,,,,,,,,
81275,160125,141,株式会社オーティーエル                          ,焼肉あんず                                      ,防災,1,,,,,,,,,,,,
81379,160125,207,ニッタン株式会社　和歌山営業所                  ,各配水池消防用設備点検業務委託                  ,防災,1,,,,,,,,,,,,
81261,160125,751,岡野消防設備株式会社                            ,123交野店　立体駐車場                           ,防災,1,,,,,,,,,,,,
81262,160125,751,岡野消防設備株式会社                            ,スロットスタジオ松原店                          ,防災,1,,,,,,,,,,,,
81268,160125,751,岡野消防設備株式会社                            ,123鶴橋店                                       ,防災,1,,,,,,,,,,,,
81269,160125,751,岡野消防設備株式会社                            ,ドン.キホーテ次郎丸店                           ,防災,1,,,,,,,,,,,,
81249,160123,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
81335,160123,45,株式会社アイワライフネット                      ,ガーデンハイツ田園　202号室                     ,防災,1,,,,,,,,,,,,
81336,160123,45,株式会社アイワライフネット                      ,グリーンプラザ　113号室                         ,防災,1,,,,,,,,,,,,
81337,160123,45,株式会社アイワライフネット                      ,ヒルパレス四季壱号館　101号室                   ,防災,1,,,,,,,,,,,,
81302,160123,616,メディカルメイト株式会社                        ,松本病院　MRI室改修工事                         ,防災,1,,,,,,,,,,,,
81362,160122,36,有限会社紀州エンジニアリング                    ,旭化成　定温式感知器取替工事                    ,防災,1,,,,,,,,,,,,
81284,160122,616,メディカルメイト株式会社                        ,UFB-2P-202NH-PWH埋込ﾎﾞｯｸｽ(半埋込)               ,防災,1,,,,,,,,,,,,
81550,160122,751,岡野消防設備株式会社                            ,ＣＩＴＹ！ＷＡＫＡＹＡＭＡ                      ,防災,1,,,,,,,,,,,,
81359,160121,19,身体障害者授産施設小倉園                        ,食堂内コンセント増設工事                        ,電気,1,,,,,,,,,,,,
81363,160121,36,有限会社紀州エンジニアリング                    ,紀央館高校体育館天井等改修電気設備工事          ,防災,1,,,,,,,,,,,,
81364,160121,56,　岡本電気                                      ,和医大学附属病院(中央棟 1階 ﾘﾊﾋﾞﾘﾃｰｼｮﾝ室        ,防災,1,,,,,,,,,,,,
81310,160121,65,崇教真光 紀の川準道場                           ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
81300,160121,141,株式会社オーティーエル                          ,たかあいハイツ                                  ,防災,1,,,,,,,,,,,,
81294,160121,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検（機器点検）                    ,防災,1,,,,,,,,,,,,
81236,160120,38,伸和電設株式会社                                ,見積番号：95                                    ,防災,1,,,,,,,,,,,,
81237,160120,38,伸和電設株式会社                                ,見積番号：97                                    ,防災,1,,,,,,,,,,,,
81238,160120,38,伸和電設株式会社                                ,見積番号：99                                    ,防災,1,,,,,,,,,,,,
81202,160120,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
81313,160120,60,有限会社梶本無線商会                            ,和歌山県歯科医師会館　非常照明器具取替          ,電気,1,,,,,,,,,,,,
81276,160120,291,株式会社　ドゥ・オペレーション                  ,Ｄ－ＣＵＢＥ奈良                                ,電気,1,,,,,,,,,,,,
81189,160120,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
