売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
88744,210601,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88736,210601,751,岡野消防設備株式会社                            ,東急ドエル摩耶                                  ,防災,1,,,,,,,,,,,,
88772,210601,A59,グリーンシャポービル管理組合                    ,グリーンシャポービル　納品                      ,防災,1,,,,,,,,,,,,
88619,210531,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88650,210531,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88684,210531,45,株式会社アイワライフネット                      ,グリーンフル夏目　205号室                       ,防災,1,,,,,,,,,,,,
88697,210531,48,有限会社レインボーシステムズ                    ,パルビル　電球交換                              ,電気,1,,,,,,,,,,,,
88663,210531,199,株式会社アイセン                                ,㈱アイセン　赤坂工場様                          ,電気,1,,,,,,,,,,,,
88666,210531,199,株式会社アイセン                                ,㈱アイセン　赤坂工場様                          ,電気,1,,,,,,,,,,,,
88654,210531,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88643,210531,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88629,210531,899,廣見家具株式会社                                ,ひろみ家具泉佐野店新築工事                      ,電気,1,,,,,,,,,,,,
88670,210531,A65,共同産業株式会社　東京オフィス                  ,ユニゾ人形町３丁目ビル                          ,防災,1,,,,,,,,,,,,
88775,210529,616,メディカルメイト株式会社                        ,医療法人守人会　塚田内科クリニック              ,防災,1,,,,,,,,,,,,
88722,210528,438,株式会社　大野建設                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88723,210528,763,株式会社ＭＡＲＵＥＩ                            ,桐蔭高校                                        ,防災,1,,,,,,,,,,,,
88716,210527,138,北畑不動産株式会社                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88637,210527,259,アサカワリフォーム株式会社                      ,和防工業                                        ,電気,1,,,,,,,,,,,,
88633,210527,692,医療法人三光会　クリニック三木                  ,LED照明器具                                     ,電気,1,,,,,,,,,,,,
88645,210527,751,岡野消防設備株式会社                            ,NESTA RESORT KOBE                               ,防災,1,,,,,,,,,,,,
88721,210527,A89,有限会社日栄住建                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
