売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
78487,140121,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
78446,140120,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット　1140            ,防災,1,,,,,,,,,,,,
78447,140120,15,泉州防災株式会社                                ,エルガビル                                      ,防災,1,,,,,,,,,,,,
78448,140120,15,泉州防災株式会社                                ,イオン日根野・ジョーシン日根野                  ,防災,1,,,,,,,,,,,,
78385,140120,34,有限会社高田産業                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
78386,140120,36,有限会社紀州エンジニアリング                    ,そめみち店舗付住宅                              ,防災,1,,,,,,,,,,,,
78387,140120,36,有限会社紀州エンジニアリング                    ,そめみち店舗付住宅                              ,防災,1,,,,,,,,,,,,
78397,140120,38,伸和電設株式会社                                ,三菱電機㈱冷熱システム製作所                    ,防災,1,,,,,,,,,,,,
78399,140120,38,伸和電設株式会社                                ,愛知現場応援                                    ,電気,1,,,,,,,,,,,,
78400,140120,38,伸和電設株式会社                                ,12/29　三菱電機　応援                           ,電気,1,,,,,,,,,,,,
78401,140120,38,伸和電設株式会社                                ,古座　処理場　応援                              ,電気,1,,,,,,,,,,,,
78421,140120,38,伸和電設株式会社                                ,三菱電機健康保険組合                            ,防災,1,,,,,,,,,,,,
78443,140120,45,株式会社アイワライフネット                      ,グリーンフルゆう　302号室                       ,防災,1,,,,,,,,,,,,
78444,140120,45,株式会社アイワライフネット                      ,アネシス・ヒロ                                  ,防災,1,,,,,,,,,,,,
78445,140120,45,株式会社アイワライフネット                      ,ラフィーネ和歌山壱番館　309号室                 ,防災,1,,,,,,,,,,,,
78424,140120,49,株式会社堀田組                                  ,三菱電機冷熱応用システム㈱                      ,電気,1,,,,,,,,,,,,
78410,140120,77,株式会社関防                                    ,シャインハイツ紀の国1                           ,電気,1,,,,,,,,,,,,
78380,140120,152,有限会社いわでん                                ,生活共同介護事業(まさごホーム)改装工事          ,防災,1,,,,,,,,,,,,
78381,140120,152,有限会社いわでん                                ,きのかわ支援学校 給食・特別教室棟               ,電気,1,,,,,,,,,,,,
78382,140120,152,有限会社いわでん                                ,きのかわ支援学校 給食・特別教室棟               ,防災,1,,,,,,,,,,,,
78383,140120,152,有限会社いわでん                                ,生活共同介護事業(まさごホーム)改装工事          ,防災,1,,,,,,,,,,,,
78379,140120,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
78393,140120,439,株式会社　三八波                                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
78419,140120,551,株式会社ライフガーデン                          ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
78384,140120,572,村本建設株式会社                                ,コメリパワー岩出店新築工事                      ,電気,1,,,,,,,,,,,,
78389,140120,592,社会福祉法人一会                                ,特別養護老人ホーム　ローズ                      ,防災,1,,,,,,,,,,,,
78423,140120,607,シンワ技研株式会社                              ,株式会社産九　消防設備保守点検（総合）          ,防災,1,,,,,,,,,,,,
78392,140120,614,株式会社クリーン工房                            ,アバローム紀の国                                ,防災,1,,,,,,,,,,,,
78412,140120,625,株式会社コーセイテック                          ,有料老人ホーム　住人十色                        ,防災,1,,,,,,,,,,,,
78413,140120,625,株式会社コーセイテック                          ,有料老人ホーム　住人十色(追加工事費含む)        ,防災,1,,,,,,,,,,,,
78420,140120,625,株式会社コーセイテック                          ,有料老人ホーム　住人十色                        ,防災,1,,,,,,,,,,,,
78458,140120,628,興紀消防メンテナンス                            ,工場アングルバルブ取替                          ,防災,1,,,,,,,,,,,,
78390,140120,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
78422,140120,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
78394,140120,748,オンエアー大阪                                  ,中里第２ビルテナント（桜坂）                    ,防災,1,,,,,,,,,,,,
78405,140119,38,伸和電設株式会社                                ,三菱電機　第1工場3階～屋上　電源工事            ,電気,1,,,,,,,,,,,,
78429,140117,15,泉州防災株式会社                                ,山内農場　堺筋本町                              ,防災,1,,,,,,,,,,,,
78376,140116,45,株式会社アイワライフネット                      ,グリーンフルゆう　103号室                       ,防災,1,,,,,,,,,,,,
78372,140115,71,小川電機株式会社　伊都営業所                    ,注番：6B197                                     ,防災,1,,,,,,,,,,,,
78431,140114,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット　1140            ,電気,1,,,,,,,,,,,,
78373,140114,45,株式会社アイワライフネット                      ,ハイツサンスイ　301号室                         ,防災,1,,,,,,,,,,,,
78374,140114,45,株式会社アイワライフネット                      ,パーク20　111号室                               ,防災,1,,,,,,,,,,,,
78375,140114,45,株式会社アイワライフネット                      ,グリーンフル今中　101号室                       ,防災,1,,,,,,,,,,,,
78371,140114,131,小川電機株式会社　和歌山営業所                  ,直送費                                          ,電気,1,,,,,,,,,,,,
78459,140114,628,興紀消防メンテナンス                            ,粉末ＡＢＣ消火器１０型                          ,防災,1,,,,,,,,,,,,
78403,140112,38,伸和電設株式会社                                ,三菱電機　第4A工場　シートハウス                ,電気,1,,,,,,,,,,,,
78406,140112,38,伸和電設株式会社                                ,三菱電機　第1工場3階、第4工場1階                ,電気,1,,,,,,,,,,,,
78428,140111,15,泉州防災株式会社                                ,イオン泉南　感知器取替工事                      ,防災,1,,,,,,,,,,,,
78402,140111,38,伸和電設株式会社                                ,三菱電機リサイクルセンター                      ,電気,1,,,,,,,,,,,,
78360,140111,45,株式会社アイワライフネット                      ,グリーンハイツ狐島　101号室                     ,防災,1,,,,,,,,,,,,
78411,140110,77,株式会社関防                                    ,マンション紀の国                                ,防災,1,,,,,,,,,,,,
78391,140110,181,株式会社青木実業                                ,マリーナシティ公衆トイレ差込増設工事            ,電気,1,,,,,,,,,,,,
78359,140110,593,オーヤシマ株式会社　本社                        ,西川　弘幸様邸　電気工事                        ,電気,1,,,,,,,,,,,,
78409,140108,32,株式会社ＥＫ.ＰＬＡＮＴＥＣ                     ,和歌山市役所駐車場　応援                        ,電気,1,,,,,,,,,,,,
78415,140108,34,有限会社高田産業                                ,グループホームたかお                            ,防災,1,,,,,,,,,,,,
78361,140108,45,株式会社アイワライフネット                      ,オフィスビル21                                  ,防災,1,,,,,,,,,,,,
78362,140108,45,株式会社アイワライフネット                      ,パーク20　211号室                               ,防災,1,,,,,,,,,,,,
78365,140107,45,株式会社アイワライフネット                      ,セジュール・Ｎ　201号室                         ,防災,1,,,,,,,,,,,,
78366,140107,45,株式会社アイワライフネット                      ,榎原ハイツ                                      ,防災,1,,,,,,,,,,,,
78404,140106,38,伸和電設株式会社                                ,三菱電機　第2工場                               ,電気,1,,,,,,,,,,,,
78363,140106,45,株式会社アイワライフネット                      ,プリシェール三樹　101号室                       ,防災,1,,,,,,,,,,,,
