売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
77593,130610,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P                     ,防災,1,,,,,,,,,,,,
77676,130607,20,和歌山県知事　仁坂吉伸                          ,紀三井寺公園公園整備外合併工事                  ,電気,1,,,,,,,,,,,,
77616,130607,152,有限会社いわでん                                ,夢ひまわり                                      ,電気,1,,,,,,,,,,,,
77632,130607,616,メディカルメイト株式会社                        ,北出病院                                        ,電気,1,,,,,,,,,,,,
77594,130606,45,株式会社アイワライフネット                      ,コーポパルファム　201号                         ,防災,1,,,,,,,,,,,,
77595,130606,45,株式会社アイワライフネット                      ,ホワイトフェアリー野上                          ,防災,1,,,,,,,,,,,,
77591,130606,118,株式会社たけでん                                ,注番：DEB6885                                   ,防災,1,,,,,,,,,,,,
77615,130605,35,株式会社葵消防設備                              ,シティハイツ北島　応援                          ,電気,1,,,,,,,,,,,,
77631,130605,616,メディカルメイト株式会社                        ,野上病院                                        ,電気,1,,,,,,,,,,,,
77588,130604,126,株式会社狩谷電気店                              ,粉末ＡＢＣ消火器１０型(ＰＥＰ－１０)            ,防災,1,,,,,,,,,,,,
77670,130603,15,泉州防災株式会社                                ,ＣＩＴＹ！ＷＡＫＡＹＡＭＡ                      ,電気,1,,,,,,,,,,,,
77672,130601,15,泉州防災株式会社                                ,イオン泉南                                      ,電気,1,,,,,,,,,,,,
77630,130601,582,やすらぎの郷　メゾンドシンフォニー              ,メゾンドシンフォニー様                          ,防災,1,,,,,,,,,,,,
77590,130531,63,和歌山県立医科大学附属病院                      ,防刃手袋ワークウェア　Lサイズ                   ,防災,1,,,,,,,,,,,,
77611,130531,141,株式会社オーティーエル                          ,ＣＡＳＡ京都　西野山                            ,電気,1,,,,,,,,,,,,
77585,130531,419,綜合警備保障株式会社                            ,スズキ自販和歌山1階修理                         ,防災,1,,,,,,,,,,,,
77582,130530,45,株式会社アイワライフネット                      ,キューブＮ　Ａ棟　307号                         ,防災,1,,,,,,,,,,,,
77583,130530,45,株式会社アイワライフネット                      ,シティプラザ東紺屋町　201号                     ,防災,1,,,,,,,,,,,,
77621,130530,607,シンワ技研株式会社                              ,ﾊﾟﾅｿﾆｯｸ　ﾗﾝﾌﾟ　FL9224018                        ,電気,1,,,,,,,,,,,,
77671,130529,15,泉州防災株式会社                                ,堺東ＥＨ第２ビル                                ,電気,1,,,,,,,,,,,,
77626,130528,32,株式会社ＥＫ.ＰＬＡＮＴＥＣ                     ,有田広域焼却炉                                  ,電気,1,,,,,,,,,,,,
77576,130528,71,小川電機株式会社　伊都営業所                    ,粉末ＡＢＣ消火器　10型                          ,防災,1,,,,,,,,,,,,
77625,130527,36,有限会社紀州エンジニアリング                    ,よってって集配センター改修工事                  ,電気,1,,,,,,,,,,,,
77574,130527,45,株式会社アイワライフネット                      ,ジョイフル松島　Ａ棟　103号                     ,防災,1,,,,,,,,,,,,
77563,130527,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P(廃棄料込)           ,防災,1,,,,,,,,,,,,
77564,130527,635,和歌山市防火管理者連絡協議会                    ,蓄圧式10型カット見本                            ,防災,1,,,,,,,,,,,,
77575,130525,15,泉州防災株式会社                                ,泉佐野アウトレット1125マレーラ                  ,電気,1,,,,,,,,,,,,
77581,130525,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
77561,130525,45,株式会社アイワライフネット                      ,グリーンフルネオアート                          ,防災,1,,,,,,,,,,,,
77562,130525,45,株式会社アイワライフネット                      ,ストリームヴィレッジ　105号                     ,防災,1,,,,,,,,,,,,
77573,130525,45,株式会社アイワライフネット                      ,ジョイフル松島　Ａ棟　201号                     ,防災,1,,,,,,,,,,,,
77558,130523,45,株式会社アイワライフネット                      ,四番丁ハイム                                    ,防災,1,,,,,,,,,,,,
77610,130523,215,リコージャパン株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77569,130522,15,泉州防災株式会社                                ,１２３塩屋店                                    ,防災,1,,,,,,,,,,,,
77559,130522,45,株式会社アイワライフネット                      ,リバーサイド中井                                ,防災,1,,,,,,,,,,,,
77560,130522,45,株式会社アイワライフネット                      ,四番丁ハイム　202号                             ,防災,1,,,,,,,,,,,,
77577,130521,15,泉州防災株式会社                                ,１２３インター店                                ,防災,1,,,,,,,,,,,,
77557,130521,45,株式会社アイワライフネット                      ,パーク20　112号                                 ,防災,1,,,,,,,,,,,,
77506,130520,3,株式会社 アストライン                           ,ｱｽﾄﾗｲﾝ本社ﾋﾞﾙ　消防設備保守点検                 ,防災,1,,,,,,,,,,,,
77565,130520,15,泉州防災株式会社                                ,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ塩屋 消防設備保守点検                ,防災,1,,,,,,,,,,,,
77566,130520,15,泉州防災株式会社                                ,１２３岡崎店                                    ,防災,1,,,,,,,,,,,,
77567,130520,15,泉州防災株式会社                                ,１２３初島店                                    ,防災,1,,,,,,,,,,,,
77568,130520,15,泉州防災株式会社                                ,イオン貝塚店 消防設備保守点検(総合点検)         ,防災,1,,,,,,,,,,,,
77580,130520,15,泉州防災株式会社                                ,山内農場                                        ,電気,1,,,,,,,,,,,,
77523,130520,21,有限会社友里園                                  ,消火器１０型　詰替え・設置                      ,防災,1,,,,,,,,,,,,
77507,130520,37,株式会社阪本電気                                ,和興建設自動火災報知設備工事                    ,電気,1,,,,,,,,,,,,
77512,130520,37,株式会社阪本電気                                ,老人保健施設プラトン                            ,防災,1,,,,,,,,,,,,
77517,130520,38,伸和電設株式会社                                ,三菱電機㈱６工場                                ,電気,1,,,,,,,,,,,,
77548,130520,38,伸和電設株式会社                                ,三菱電機健康保険組合                            ,防災,1,,,,,,,,,,,,
77549,130520,38,伸和電設株式会社                                ,三菱電機健康保険組合                            ,電気,1,,,,,,,,,,,,
77550,130520,38,伸和電設株式会社                                ,三菱電機㈱冷熱システム製作所                    ,防災,1,,,,,,,,,,,,
77551,130520,38,伸和電設株式会社                                ,三菱電機㈱冷熱システム製作所                    ,防災,1,,,,,,,,,,,,
77495,130520,45,株式会社アイワライフネット                      ,ｸﾞﾘｰﾝﾌﾙ鳴神　消防設備保守点検                   ,防災,1,,,,,,,,,,,,
77496,130520,45,株式会社アイワライフネット                      ,サンシャイン八幡前　消防設備保守点検            ,防災,1,,,,,,,,,,,,
77525,130520,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ                              ,電気,1,,,,,,,,,,,,
77526,130520,48,有限会社レインボーシステムズ                    ,エクロールプラザ                                ,電気,1,,,,,,,,,,,,
77527,130520,48,有限会社レインボーシステムズ                    ,ワールドプラザ南海                              ,電気,1,,,,,,,,,,,,
77528,130520,48,有限会社レインボーシステムズ                    ,パルビル                                        ,電気,1,,,,,,,,,,,,
77516,130520,60,有限会社梶本無線商会                            ,日鉄住金ステンレス株式会社分                    ,電気,1,,,,,,,,,,,,
77529,130520,60,有限会社梶本無線商会                            ,ステーキハウス冨士                              ,電気,1,,,,,,,,,,,,
77522,130520,62,リバーサイドマンション管理組合                  ,リバーサイドマンション                          ,防災,1,,,,,,,,,,,,
77511,130520,73,廣久旅館                                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77515,130520,126,株式会社狩谷電気店                              ,工場分　パッケージ消火設備                      ,電気,1,,,,,,,,,,,,
77545,130520,126,株式会社狩谷電気店                              ,御社　納品分                                    ,電気,1,,,,,,,,,,,,
77546,130520,126,株式会社狩谷電気店                              ,消火器回収・処分費                              ,防災,1,,,,,,,,,,,,
77505,130520,152,有限会社いわでん                                ,与太郎　消防設備保守点検                        ,防災,1,,,,,,,,,,,,
77586,130520,198,有限会社伊藤工務店                              ,メイプル里中                                    ,防災,1,,,,,,,,,,,,
77587,130520,198,有限会社伊藤工務店                              ,メイプル甲子園                                  ,防災,1,,,,,,,,,,,,
77499,130520,286,株式会社　東洋エンタープライズ                  ,繰越金額のご案内                                ,防災,1,,,,,,,,,,,,
77541,130520,374,平林電気工業所                                  ,和歌山ガーデンクリエイト                        ,電気,1,,,,,,,,,,,,
77556,130520,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77510,130520,432,国土建設株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77497,130520,502,ペンションうえみち                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77498,130520,502,ペンションうえみち                              ,受信機バッテリー                                ,防災,1,,,,,,,,,,,,
77514,130520,514,有限会社太陽興産                                ,サンツモリビル　　消防設備保守点検              ,防災,1,,,,,,,,,,,,
77547,130520,572,村本建設株式会社                                ,(仮称)末広有料老人ホーム新築工事                ,電気,1,,,,,,,,,,,,
77530,130520,582,やすらぎの郷　メゾンドシンフォニー              ,メゾンドシンフォニー様                          ,電気,1,,,,,,,,,,,,
77531,130520,582,やすらぎの郷　メゾンドシンフォニー              ,メゾンドシンフォニー様                          ,電気,1,,,,,,,,,,,,
77552,130520,616,メディカルメイト株式会社                        ,馬場記念病院　感知器移設工事                    ,電気,1,,,,,,,,,,,,
77553,130520,616,メディカルメイト株式会社                        ,東宝塚さとう病院                                ,電気,1,,,,,,,,,,,,
77532,130520,624,株式会社アックスプラニング                      ,クルーヴ・ロジュマン今里                        ,電気,1,,,,,,,,,,,,
77504,130520,629,医療法人　準心会  道浦クリニック                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77521,130520,699,センゴクベンダー株式会社                        ,居心地屋緑様                                    ,電気,1,,,,,,,,,,,,
77538,130520,710,株式会社　日本テクノ                            ,パチンコ　アイドル                              ,電気,1,,,,,,,,,,,,
77542,130520,711,谷本                                            ,保安棟コンセント工事                            ,電気,1,,,,,,,,,,,,
77571,130519,15,泉州防災株式会社                                ,本町永和ビル                                    ,電気,1,,,,,,,,,,,,
77578,130519,15,泉州防災株式会社                                ,Ｐ＆Ｇ                                          ,電気,1,,,,,,,,,,,,
77518,130517,3,株式会社 アストライン                           ,アストボックス黒田                              ,防災,1,,,,,,,,,,,,
77519,130517,3,株式会社 アストライン                           ,アストボックス大新                              ,防災,1,,,,,,,,,,,,
77570,130517,15,泉州防災株式会社                                ,１２３はりまや橋店                              ,防災,1,,,,,,,,,,,,
77503,130517,47,ビジネスイン南海                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
77544,130517,592,社会福祉法人一会                                ,消防設備保守点検　（機器点検）                  ,防災,1,,,,,,,,,,,,
77494,130516,45,株式会社アイワライフネット                      ,グリーンマンションⅡ　404号                     ,防災,1,,,,,,,,,,,,
77489,130515,71,小川電機株式会社　伊都営業所                    ,（仮称）悠久の杜　増築工事                      ,電気,1,,,,,,,,,,,,
77490,130515,71,小川電機株式会社　伊都営業所                    ,地域密着型特定施設はるすの郷橋本(仮称）         ,電気,1,,,,,,,,,,,,
77491,130514,45,株式会社アイワライフネット                      ,メゾンおかもと                                  ,防災,1,,,,,,,,,,,,
77492,130514,45,株式会社アイワライフネット                      ,トゥインクルテラス　103号                       ,防災,1,,,,,,,,,,,,
77493,130514,45,株式会社アイワライフネット                      ,エスポワール中之島　303号                       ,防災,1,,,,,,,,,,,,
77572,130513,15,泉州防災株式会社                                ,ライオンズマンション和歌山紀伊                  ,防災,1,,,,,,,,,,,,
77508,130513,73,廣久旅館                                        ,差動感知器取替工事                              ,防災,1,,,,,,,,,,,,
77579,130509,15,泉州防災株式会社                                ,上六三和会館３階（白木屋）                      ,電気,1,,,,,,,,,,,,
77488,130509,45,株式会社アイワライフネット                      ,グリーンフルネオアート　301号                   ,防災,1,,,,,,,,,,,,
77481,130502,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P(廃棄料込)           ,防災,1,,,,,,,,,,,,
77482,130502,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P(廃棄料込)           ,防災,1,,,,,,,,,,,,
77483,130502,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P(廃棄料込)           ,防災,1,,,,,,,,,,,,
77484,130502,314,和歌山市長　大橋建一                            ,消火器10型蓄圧式丸山AHA-10P                     ,防災,1,,,,,,,,,,,,
77485,130502,314,和歌山市長　大橋建一                            ,10型粉末消火器引取りリサイクル料                ,防災,1,,,,,,,,,,,,
77479,130501,45,株式会社アイワライフネット                      ,グリーンフル鳴神                                ,防災,1,,,,,,,,,,,,
77535,130430,35,株式会社葵消防設備                              ,６型ベル（ニッタン）                            ,電気,1,,,,,,,,,,,,
77477,130430,45,株式会社アイワライフネット                      ,グリーンフルネオアート　101号                   ,防災,1,,,,,,,,,,,,
77478,130430,45,株式会社アイワライフネット                      ,岡本 元邦 一戸建                                ,防災,1,,,,,,,,,,,,
76314,130430,709,寺岡電気                                        ,5月29日　パーク建物                             ,電気,1,,,,,,,,,,,,
77471,130426,71,小川電機株式会社　伊都営業所                    ,消火器２０型                                    ,防災,1,,,,,,,,,,,,
77472,130426,78,塩地電気工業株式会社                            ,粉末ＡＢＣ消火器１０型                          ,防災,1,,,,,,,,,,,,
77536,130426,191,アルプデンキ                                    ,医療法人同仁会　辻整形外科                      ,電気,1,,,,,,,,,,,,
77473,130425,15,泉州防災株式会社                                ,ｻｰﾋﾞｽ付高齢者向け住宅　富士桜新築工事           ,電気,1,,,,,,,,,,,,
77474,130425,15,泉州防災株式会社                                ,ｻｰﾋﾞｽ付高齢者向け住宅　富士桜新築工事           ,電気,1,,,,,,,,,,,,
77537,130425,191,アルプデンキ                                    ,山本クリニック                                  ,電気,1,,,,,,,,,,,,
77520,130424,42,小笠原電気株式会社                              ,有田川町役場                                    ,防災,1,,,,,,,,,,,,
77500,130424,45,株式会社アイワライフネット                      ,ハイツサンスイ　302号                           ,防災,1,,,,,,,,,,,,
77470,130423,15,泉州防災株式会社                                ,りんくうエルガビル                              ,電気,1,,,,,,,,,,,,
77447,130423,45,株式会社アイワライフネット                      ,ラフィーネ和歌山壱番館　308号                   ,電気,1,,,,,,,,,,,,
77469,130423,396,大和リビング株式会社　関西支店                  ,ソワサントゥヴァレ                              ,防災,1,,,,,,,,,,,,
77533,130422,35,株式会社葵消防設備                              ,MTE 赤外線式ｽﾎﾟｯﾄ型感知器用試験器(ﾆｯﾀﾝ)         ,電気,1,,,,,,,,,,,,
77442,130422,45,株式会社アイワライフネット                      ,ストリームヴィレッジ　201号                     ,防災,1,,,,,,,,,,,,
77458,130420,15,泉州防災株式会社                                ,ライオンズマンション和歌山中松江                ,防災,1,,,,,,,,,,,,
77459,130420,15,泉州防災株式会社                                ,ＪＡ和歌山仮事務所                              ,防災,1,,,,,,,,,,,,
77460,130420,15,泉州防災株式会社                                ,１２３塩屋店　消防設備保守点検                  ,防災,1,,,,,,,,,,,,
77461,130420,15,泉州防災株式会社                                ,１２３はりまや橋店                              ,電気,1,,,,,,,,,,,,
77392,130420,21,有限会社友里園                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
