売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
86381,190920,354,松本電気工事                                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86265,190920,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86305,190920,751,岡野消防設備株式会社                            ,吹田倉庫　感知器増設                            ,防災,1,,,,,,,,,,,,
86277,190920,763,株式会社ＭＡＲＵＥＩ                            ,ソラ様邸　庭園灯納品                            ,電気,1,,,,,,,,,,,,
86288,190919,15,泉州防災株式会社                                ,マルハン和歌山インター店                        ,防災,1,,,,,,,,,,,,
86268,190919,38,伸和電設株式会社                                ,見積番号：289                                   ,防災,1,,,,,,,,,,,,
86269,190919,38,伸和電設株式会社                                ,見積番号：295                                   ,防災,1,,,,,,,,,,,,
86263,190919,45,株式会社アイワライフネット                      ,マスターズ・エル延時16　308号室                 ,防災,1,,,,,,,,,,,,
86385,190919,140,有限会社三笠屋                                  ,タムラビル　消防設備保守点検（総合点検）        ,防災,1,,,,,,,,,,,,
86386,190919,140,有限会社三笠屋                                  ,ナビオミカサ　消防設備保守点検(総合点検)        ,防災,1,,,,,,,,,,,,
86322,190919,751,岡野消防設備株式会社                            ,(仮称)123笹塚店                                 ,防災,1,,,,,,,,,,,,
86273,190919,754,西城商事                                        ,株式会社島精機製作所                            ,防災,1,,,,,,,,,,,,
86368,190919,976,デイサービスセンターたかお                      ,デイサービスセンターたかお　様                  ,防災,1,,,,,,,,,,,,
86286,190918,15,泉州防災株式会社                                ,マルハンぶらくり丁店                            ,防災,1,,,,,,,,,,,,
86282,190918,751,岡野消防設備株式会社                            ,岡山市中区下テナント                            ,防災,1,,,,,,,,,,,,
86285,190916,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
86272,190914,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86336,190914,578,中矢電設                                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86306,190914,751,岡野消防設備株式会社                            ,ライオンズビル大手前                            ,防災,1,,,,,,,,,,,,
86258,190914,A24,きのくに信用金庫                                ,きのくに信用金庫　和歌山支店様                  ,電気,1,,,,,,,,,,,,
86255,190913,494,新栄電気株式会社                                ,ひらり                                          ,防災,1,,,,,,,,,,,,
86334,190913,494,新栄電気株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86257,190912,38,伸和電設株式会社                                ,スカイマスター（ガソリン込）8/11                ,電気,1,,,,,,,,,,,,
86251,190912,574,三菱電機ライフサービス株式会社                  ,薗部アパート                                    ,防災,1,,,,,,,,,,,,
86230,190912,578,中矢電設                                        ,木質チップ生産施設                              ,防災,1,,,,,,,,,,,,
86231,190912,634,有限会社ファーストサービス                      ,テックランド加古川店                            ,電気,1,,,,,,,,,,,,
86232,190912,634,有限会社ファーストサービス                      ,テックランド豊中店                              ,電気,1,,,,,,,,,,,,
86227,190911,131,小川電機株式会社　和歌山営業所                  ,梅田　アルヴィータビル                          ,防災,1,,,,,,,,,,,,
86278,190911,853,ぶっとく幼稚園                                  ,ぶっとく幼稚園様・常楽寺様                      ,防災,1,,,,,,,,,,,,
86253,190910,19,身体障害者授産施設小倉園                        ,小倉園                                          ,防災,1,,,,,,,,,,,,
86245,190910,88,関西不動産株式会社                              ,ハイムシンド                                    ,防災,1,,,,,,,,,,,,
86236,190910,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86239,190909,45,株式会社アイワライフネット                      ,グリーンフルフェニックスⅡ　205号室             ,防災,1,,,,,,,,,,,,
86229,190909,578,中矢電設                                        ,(仮称)マミーズアイさかい園                      ,防災,1,,,,,,,,,,,,
86331,190909,668,ルミエール　デイサービスセンター                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
86332,190909,692,医療法人三光会　クリニック三木                  ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
86283,190909,751,岡野消防設備株式会社                            ,北野田ビル                                      ,防災,1,,,,,,,,,,,,
86293,190907,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
86325,190907,46,田上電機システム                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86254,190907,199,株式会社アイセン                                ,アイセン赤坂工場様　４階                        ,電気,1,,,,,,,,,,,,
86307,190907,751,岡野消防設備株式会社                            ,123和歌山インター店　男子トイレ                 ,防災,1,,,,,,,,,,,,
86292,190906,15,泉州防災株式会社                                ,プリマード東岸和田                              ,防災,1,,,,,,,,,,,,
86259,190906,38,伸和電設株式会社                                ,御坊中学校                                      ,防災,1,,,,,,,,,,,,
86300,190906,112,積和不動産関西株式会社                          ,シャーメゾン元町奉行                            ,防災,1,,,,,,,,,,,,
86315,190906,616,メディカルメイト株式会社                        ,三菱神戸病院　ｺﾝｸﾘｰﾄ構造物内部調査              ,防災,1,,,,,,,,,,,,
86225,190906,A23,株式会社ＬＥＯＮ　ＣＬＵＢ                      ,心茶　田辺店                                    ,電気,1,,,,,,,,,,,,
86243,190905,45,株式会社アイワライフネット                      ,キューブＮ　Ｂ棟116号室                         ,防災,1,,,,,,,,,,,,
86294,190904,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
86244,190904,45,株式会社アイワライフネット                      ,ハイツ彩光　Ｂ棟103号室                         ,防災,1,,,,,,,,,,,,
86279,190904,215,リコージャパン株式会社                          ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
86250,190904,292,中谷電気工事株式会社                            ,伊都浄化センター                                ,防災,1,,,,,,,,,,,,
86295,190903,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
86266,190903,292,中谷電気工事株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86256,190902,36,有限会社紀州エンジニアリング                    ,日高川ハイツ団地あじさい棟                      ,防災,1,,,,,,,,,,,,
86262,190902,48,有限会社レインボーシステムズ                    ,パルビル　電球交換                              ,電気,1,,,,,,,,,,,,
86247,190902,99,トーシン補聴器センター和歌山                    ,照明器具取替工事                                ,電気,1,,,,,,,,,,,,
86705,190902,180,株式会社成祐設備工業                            ,福島小学校                                      ,防災,1,,,,,,,,,,,,
86326,190902,392,有限会社ジェイイーエス                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86271,190902,439,株式会社　三八波                                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
86841,190902,732,医療法人やすだ 堀口記念病院                     ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
86187,190831,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86202,190831,207,ニッタン株式会社　和歌山営業所                  ,野上中学校防災設備更新工事(体育館側)            ,防災,1,,,,,,,,,,,,
86301,190831,437,株式会社　関口建設                              ,ヒダカヤ海南店                                  ,防災,1,,,,,,,,,,,,
86213,190831,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86216,190831,899,廣見家具株式会社                                ,廣見様邸　洗面・流し台水栓取替工事              ,電気,1,,,,,,,,,,,,
86215,190830,391,　　岡本                                        ,エアコン取替工事                                ,電気,1,,,,,,,,,,,,
86212,190830,751,岡野消防設備株式会社                            ,納品                                            ,防災,1,,,,,,,,,,,,
86195,190829,817,社会福祉法人有田ひまわり福祉会                  ,ひまわり作業所　様                              ,防災,1,,,,,,,,,,,,
86214,190829,817,社会福祉法人有田ひまわり福祉会                  ,グループホーム棟                                ,電気,1,,,,,,,,,,,,
86319,190828,646,株式会社スターボシステム                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86219,190828,751,岡野消防設備株式会社                            ,アピア逆瀬川                                    ,防災,1,,,,,,,,,,,,
86203,190827,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
86333,190827,138,北畑不動産株式会社                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86270,190826,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　５階「リアン」              ,電気,1,,,,,,,,,,,,
86204,190826,393,米田電気設備                                    ,朝日二丁目計画（むつみ庵）                      ,防災,1,,,,,,,,,,,,
86280,190826,657,株式会社プラス                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86205,190826,834,株式会社ユニトラ                                ,㈱ミワ                                          ,防災,1,,,,,,,,,,,,
86152,190825,505,神樂防災株式会社                                ,現場応援費                                      ,防災,1,,,,,,,,,,,,
86201,190824,15,泉州防災株式会社                                ,ライオンズマンションＲＳ布施屋                  ,防災,1,,,,,,,,,,,,
86240,190824,45,株式会社アイワライフネット                      ,サンハイツ関戸Ｂ棟                              ,防災,1,,,,,,,,,,,,
86241,190824,45,株式会社アイワライフネット                      ,カサミア八幡　201号室                           ,防災,1,,,,,,,,,,,,
86186,190824,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86218,190823,96,医療法人光明会　はしもと整形外科                ,1階　身体障害者用ﾄｲﾚｳｫｼｭﾚｯﾄ取替工事             ,電気,1,,,,,,,,,,,,
86193,190823,419,綜合警備保障株式会社                            ,橋本歯科医院                                    ,防災,1,,,,,,,,,,,,
86194,190823,419,綜合警備保障株式会社                            ,和歌山日産自動車㈱西浜中古車センター            ,防災,1,,,,,,,,,,,,
86248,190823,673,有限会社ハザマエンジニアリング                  ,西脇中学校外小学校2校冷暖房設備工事             ,防災,1,,,,,,,,,,,,
86242,190822,45,株式会社アイワライフネット                      ,グリーンフル中島　203号室                       ,防災,1,,,,,,,,,,,,
86261,190822,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
86382,190822,152,有限会社いわでん                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86252,190822,292,中谷電気工事株式会社                            ,かつらぎ町立四邑公民館                          ,防災,1,,,,,,,,,,,,
86151,190820,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86172,190820,104,社会福祉法人こうま会                            ,安楽川保育園様                                  ,電気,1,,,,,,,,,,,,
86184,190820,132,大橋建具店                                      ,ジャンパー　Ｌ                                  ,電気,1,,,,,,,,,,,,
86171,190820,333,久米　和義                                      ,エコキュート修理                                ,電気,1,,,,,,,,,,,,
86166,190820,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86175,190820,582,やすらぎの郷　メゾンドシンフォニー              ,給湯器修理                                      ,電気,1,,,,,,,,,,,,
86176,190820,582,やすらぎの郷　メゾンドシンフォニー              ,スプリンクラー設備一次側配管取替工事            ,防災,1,,,,,,,,,,,,
86207,190820,616,メディカルメイト株式会社                        ,玉置病院                                        ,防災,1,,,,,,,,,,,,
86220,190820,751,岡野消防設備株式会社                            ,㈱ダイワ                                        ,防災,1,,,,,,,,,,,,
86197,190819,146,株式会社 シュテルン和歌山                       ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86192,190819,437,株式会社　関口建設                              ,ＣＯＣＯ壱番屋　黒田店                          ,防災,1,,,,,,,,,,,,
86198,190819,803,和歌山トヨタ自動車株式会社                      ,消防設備保守点検（機器点検）                    ,防災,1,,,,,,,,,,,,
86190,190817,751,岡野消防設備株式会社                            ,123座間店                                       ,防災,1,,,,,,,,,,,,
86209,190817,889,株式会社森田工務店                              ,コメリ和歌山インター店                          ,防災,1,,,,,,,,,,,,
86141,190815,634,有限会社ファーストサービス                      ,堺市　スターバックス                            ,電気,1,,,,,,,,,,,,
86143,190815,634,有限会社ファーストサービス                      ,ＧｏｎｇＣｈａ原宿新店　新築工事                ,防災,1,,,,,,,,,,,,
86157,190815,634,有限会社ファーストサービス                      ,テックランド半田店                              ,防災,1,,,,,,,,,,,,
86208,190810,616,メディカルメイト株式会社                        ,やすお脳神経外科                                ,防災,1,,,,,,,,,,,,
86174,190809,152,有限会社いわでん                                ,ホンダカーズ岩出店                              ,防災,1,,,,,,,,,,,,
86267,190809,152,有限会社いわでん                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86210,190809,A20,　　前                                          ,居宅空調更新設備工事                            ,電気,1,,,,,,,,,,,,
86155,190808,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　２階　「ミニオン」          ,電気,1,,,,,,,,,,,,
86234,190808,438,株式会社　大野建設                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86189,190808,751,岡野消防設備株式会社                            ,123浜野店                                       ,防災,1,,,,,,,,,,,,
86160,190808,821,初島幼稚園                                      ,粉末ABC消火器10型                               ,防災,1,,,,,,,,,,,,
86237,190808,956,ピュアネス野崎                                  ,ピュアネス野崎 様                               ,防災,1,,,,,,,,,,,,
86170,190808,A18,株式会社大野工務店                              ,ライフサポート倖                                ,防災,1,,,,,,,,,,,,
86182,190808,A19,　　　大東                                      ,給湯設備工事                                    ,電気,1,,,,,,,,,,,,
86178,190807,48,有限会社レインボーシステムズ                    ,パルビル１階「魚の華」調光器取替                ,電気,1,,,,,,,,,,,,
86173,190807,881,株式会社赤土建設                                ,アイセン本社                                    ,防災,1,,,,,,,,,,,,
86167,190806,38,伸和電設株式会社                                ,見積番号：291                                   ,防災,1,,,,,,,,,,,,
86221,190806,141,株式会社オーティーエル                          ,堺市勤労者福祉センター                          ,防災,1,,,,,,,,,,,,
86148,190805,45,株式会社アイワライフネット                      ,第2川端マンション　502号室                      ,防災,1,,,,,,,,,,,,
86185,190805,396,大和リビング株式会社　和歌山営業所              ,サウスメゾンエーデルワイス　306号室             ,防災,1,,,,,,,,,,,,
86136,190805,828,中之島銭座町自治会                              ,粉末ABC消火器10型（リサイクルシール込）         ,防災,1,,,,,,,,,,,,
86138,190805,A17,　　　赤堀                                      ,赤堀　光洋様邸                                  ,電気,1,,,,,,,,,,,,
86158,190802,35,株式会社葵消防設備                              ,火災受信所板（貼るタイプ）                      ,防災,1,,,,,,,,,,,,
86206,190802,616,メディカルメイト株式会社                        ,淀井病院                                        ,防災,1,,,,,,,,,,,,
86200,190802,626,株式会社オフィスエイト                          ,甲南女子大学4号館                               ,防災,1,,,,,,,,,,,,
86188,190802,751,岡野消防設備株式会社                            ,123南昭和町                                     ,防災,1,,,,,,,,,,,,
86199,190801,279,オリエントホームズ株式会社                      ,吉岡様邸ＡＶ機器他設備工事                      ,電気,1,,,,,,,,,,,,
86120,190731,15,泉州防災株式会社                                ,ドーミーイン三宮                                ,防災,1,,,,,,,,,,,,
86156,190731,48,有限会社レインボーシステムズ                    ,ワールドプラザ南海　電球交換                    ,電気,1,,,,,,,,,,,,
86129,190731,207,ニッタン株式会社　和歌山営業所                  ,白浜別館通信用建物整備空調他工事                ,電気,1,,,,,,,,,,,,
86041,190731,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86098,190731,521,久木畜産猪八                                    ,倉庫照明取替工事                                ,防災,1,,,,,,,,,,,,
86222,190731,739,株式会社　原庄組                                ,ホテル　エピカリス                              ,電気,1,,,,,,,,,,,,
86112,190731,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
86139,190731,834,株式会社ユニトラ                                ,Ｇテリア                                        ,電気,1,,,,,,,,,,,,
86122,190731,899,廣見家具株式会社                                ,インテリアひろみ様                              ,電気,1,,,,,,,,,,,,
86123,190731,899,廣見家具株式会社                                ,インテリアひろみ　マラガ様                      ,電気,1,,,,,,,,,,,,
86090,190731,983,坂本建築工房                                    ,佐藤様邸                                        ,電気,1,,,,,,,,,,,,
86091,190731,983,坂本建築工房                                    ,佐藤様邸                                        ,電気,1,,,,,,,,,,,,
86179,190729,38,伸和電設株式会社                                ,三菱電機６工場４階休憩室                        ,防災,1,,,,,,,,,,,,
86144,190729,45,株式会社アイワライフネット                      ,東和コーポラス　201号室                         ,防災,1,,,,,,,,,,,,
86159,190729,112,積和不動産関西株式会社                          ,フレグランス畑屋敷                              ,防災,1,,,,,,,,,,,,
86089,190729,131,小川電機株式会社　和歌山営業所                  ,㈲井上金属リサイクル様                          ,電気,1,,,,,,,,,,,,
86164,190729,555,社会福祉法人　一会                              ,介護老人保健施設ローズ                          ,防災,1,,,,,,,,,,,,
86092,190729,617,大橋消防設備                                    ,新中村化学工業                                  ,防災,1,,,,,,,,,,,,
