売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
83515,170720,65,崇教真光 紀の川準道場                           ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
83371,170720,77,株式会社関防                                    ,中谷医科歯科病院　設備工事                      ,電気,1,,,,,,,,,,,,
83325,170720,91,力土建有限会社                                  ,東団地　納品                                    ,防災,1,,,,,,,,,,,,
83417,170720,99,トーシン補聴器センター和歌山                    ,ＴＶアンテナ取替工事                            ,電気,1,,,,,,,,,,,,
83324,170720,126,株式会社狩谷電気店                              ,大洋化学様分                                    ,防災,1,,,,,,,,,,,,
83348,170720,142,有限会社和歌山防火協会                          ,加熱・加煙試験器(NKS-3基本ｾｯﾄ)                  ,防災,1,,,,,,,,,,,,
83327,170720,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
83357,170720,762,加太　海月                                      ,パッケージ型エアコン取付工事（6台）             ,電気,1,,,,,,,,,,,,
83342,170719,45,株式会社アイワライフネット                      ,フォレストボックス1                             ,防災,1,,,,,,,,,,,,
83379,170719,207,ニッタン株式会社　和歌山営業所                  ,オークワ新宮店　消防設備工事                    ,防災,1,,,,,,,,,,,,
83354,170719,546,株式会社江川組                                  ,キングライン第3倉庫                             ,防災,1,,,,,,,,,,,,
83355,170719,546,株式会社江川組                                  ,キングライン第3倉庫                             ,防災,1,,,,,,,,,,,,
83412,170719,751,岡野消防設備株式会社                            ,123布施店                                       ,防災,1,,,,,,,,,,,,
83390,170718,15,泉州防災株式会社                                ,イオンモール日根野店                            ,防災,1,,,,,,,,,,,,
83409,170718,751,岡野消防設備株式会社                            ,123玉出店                                       ,防災,1,,,,,,,,,,,,
83430,170718,751,岡野消防設備株式会社                            ,泉佐野グループホーム                            ,防災,1,,,,,,,,,,,,
83341,170715,45,株式会社アイワライフネット                      ,プラザレヨン                                    ,防災,1,,,,,,,,,,,,
83477,170715,134,日本ビルサービス株式会社                        ,朝日プラザ中之島                                ,防災,1,,,,,,,,,,,,
83280,170715,547,株式会社ミヤザワ建設                            ,ローソン太融寺町西店                            ,電気,1,,,,,,,,,,,,
83480,170713,42,小笠原電気株式会社                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
