売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
79141,140620,83,潮風荘                                          ,居宅エアコン取付工事（電源工事含む）            ,電気,1,,,,,,,,,,,,
79077,140620,141,株式会社オーティーエル                          ,京都ゲストハウス                                ,防災,1,,,,,,,,,,,,
78999,140620,152,有限会社いわでん                                ,大阪府曽根崎警察署耐震改修工事                  ,防災,1,,,,,,,,,,,,
79062,140620,374,平林電気工業所                                  ,KISUN冷媒管ステン巻き                           ,防災,1,,,,,,,,,,,,
78988,140620,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
79018,140620,762,加太　海月                                      ,エアコン取付工事（３馬力１台）                  ,電気,1,,,,,,,,,,,,
79078,140620,775,Ｍ・Ｏ電設                                      ,差動式スポット型感知器2種(ヘッドのみ）          ,防災,1,,,,,,,,,,,,
79004,140619,433,医療法人三光会　かがやきくらぶ                  ,LED照明2台取替                                  ,電気,1,,,,,,,,,,,,
79019,140619,578,中矢電設                                        ,ＪＡならけん牧野農産物直売所                    ,防災,1,,,,,,,,,,,,
79119,140619,607,シンワシステムズ                                ,ほうらい苑                                      ,防災,1,,,,,,,,,,,,
79021,140618,197,パーラーゴリラ                                  ,パーラーゴリラ　様                              ,防災,1,,,,,,,,,,,,
78991,140617,45,株式会社アイワライフネット                      ,グリーンハイツ狐島　107号室                     ,防災,1,,,,,,,,,,,,
79117,140617,494,新栄電気株式会社                                ,岬消防署　消防設備保守点検（機器点検）          ,防災,1,,,,,,,,,,,,
79157,140616,15,泉州防災株式会社                                ,6/2～16　りんくうプレミアムアウトレット         ,防災,1,,,,,,,,,,,,
78998,140616,35,株式会社葵消防設備                              ,光電式ｽﾎﾟｯﾄ型感知器2種(SLV-2RL)ﾍﾞｰｽ共           ,防災,1,,,,,,,,,,,,
78992,140616,45,株式会社アイワライフネット                      ,東高松一戸建                                    ,防災,1,,,,,,,,,,,,
79057,140616,751,岡野消防設備株式会社                            ,株式会社カツラギロジテム                        ,防災,1,,,,,,,,,,,,
78990,140615,547,株式会社ミヤザワ建設                            ,静香産業株式会社                                ,電気,1,,,,,,,,,,,,
79000,140612,152,有限会社いわでん                                ,スーパーネゴロ岩出店                            ,防災,1,,,,,,,,,,,,
79006,140612,215,リコージャパン株式会社                          ,御社　消防設備保守点検後改修工事                ,防災,1,,,,,,,,,,,,
79056,140612,751,岡野消防設備株式会社                            ,永楽福祉会本部棟・ケアハウス永楽                ,防災,1,,,,,,,,,,,,
79173,140611,657,株式会社プラス                                  ,よってって貴志川店・ふれあい館                  ,防災,1,,,,,,,,,,,,
78972,140610,45,株式会社アイワライフネット                      ,プリシェール三樹　201号室                       ,防災,1,,,,,,,,,,,,
78973,140610,45,株式会社アイワライフネット                      ,グリーンフル夏目　105号室                       ,防災,1,,,,,,,,,,,,
79010,140610,49,株式会社堀田組                                  ,三菱電機冷熱応用システム㈱　矢田工場            ,防災,1,,,,,,,,,,,,
79133,140610,496,有限会社丸福物産                                ,丸福屋　様                                      ,電気,1,,,,,,,,,,,,
79134,140610,625,株式会社コーセイテック                          ,ユーフーズ　様                                  ,防災,1,,,,,,,,,,,,
78996,140609,35,株式会社葵消防設備                              ,作業服(冬服)　カーゴパンツ　85                  ,防災,1,,,,,,,,,,,,
79058,140609,751,岡野消防設備株式会社                            ,上六三和会館・123上六店・サイゼリヤ             ,防災,1,,,,,,,,,,,,
79031,140608,15,泉州防災株式会社                                ,6/6～8                                          ,防災,1,,,,,,,,,,,,
79032,140607,15,泉州防災株式会社                                ,6/7　イオンモールりんくう泉南                   ,防災,1,,,,,,,,,,,,
79033,140607,15,泉州防災株式会社                                ,6/7　イオンモールりんくう泉南                   ,防災,1,,,,,,,,,,,,
79034,140607,15,泉州防災株式会社                                ,6/7　イオンモールりんくう泉南                   ,防災,1,,,,,,,,,,,,
78989,140607,292,中谷電気工事株式会社                            ,クトクコーポレーション　工場                    ,防災,1,,,,,,,,,,,,
79313,140607,782,　　　味村                                      ,味村様　工事                                    ,電気,1,,,,,,,,,,,,
78997,140605,35,株式会社葵消防設備                              ,光電式ｽﾎﾟｯﾄ型感知器2種(SLV-2RL)ﾍｯﾄﾞのみ         ,防災,1,,,,,,,,,,,,
78995,140605,191,アルプデンキ                                    ,辻整形外科                                      ,防災,1,,,,,,,,,,,,
79074,140605,291,株式会社　ドゥ・オペレーション                  ,ホテルシルフ                                    ,防災,1,,,,,,,,,,,,
79199,140605,751,岡野消防設備株式会社                            ,123東雲店　防火対象物点検                       ,防災,1,,,,,,,,,,,,
79009,140604,354,松本電気工事                                    ,ごりょうの郷                                    ,防災,1,,,,,,,,,,,,
79135,140604,607,シンワシステムズ                                ,今村病院                                        ,防災,1,,,,,,,,,,,,
79154,140603,15,泉州防災株式会社                                ,6/3　ケーズデンキ三田店                         ,防災,1,,,,,,,,,,,,
78978,140603,45,株式会社アイワライフネット                      ,ハイカムール　101号室                           ,防災,1,,,,,,,,,,,,
79425,140603,116,伊勢屋ビル                                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
79080,140603,616,メディカルメイト株式会社                        ,近畿大学医学部堺病院                            ,防災,1,,,,,,,,,,,,
79050,140603,751,岡野消防設備株式会社                            ,ウエルシア信楽店                                ,防災,1,,,,,,,,,,,,
79051,140603,751,岡野消防設備株式会社                            ,ウエルシア八日市店                              ,防災,1,,,,,,,,,,,,
79052,140603,751,岡野消防設備株式会社                            ,ウエルシア精華台店                              ,防災,1,,,,,,,,,,,,
79007,140602,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
79008,140602,48,有限会社レインボーシステムズ                    ,ワールドプラザ南海　電球交換                    ,電気,1,,,,,,,,,,,,
78971,140602,150,ファースト                                      ,ファースト　様                                  ,防災,1,,,,,,,,,,,,
79069,140602,203,紀州住機建設株式会社                            ,坂上　哲也様邸                                  ,防災,1,,,,,,,,,,,,
79063,140602,665,株式会社モデナ                                  ,モデナHUMMER/GWPremium店                        ,防災,1,,,,,,,,,,,,
79064,140601,657,株式会社プラス                                  ,よってって吉備店　消防設備保守点検              ,防災,1,,,,,,,,,,,,
79039,140531,15,泉州防災株式会社                                ,5/31　イオンモールりんくう泉南                  ,防災,1,,,,,,,,,,,,
78956,140531,259,アサカワリフォーム株式会社                      ,パルビル1階店舗照明回路改修工事                 ,電気,1,,,,,,,,,,,,
78957,140531,259,アサカワリフォーム株式会社                      ,ダイヤモンドプラザ4階テナント                   ,電気,1,,,,,,,,,,,,
78952,140531,291,株式会社　ドゥ・オペレーション                  ,ホテルジュエルエレガンス                        ,電気,1,,,,,,,,,,,,
78962,140531,751,岡野消防設備株式会社                            ,123長吉店・松原店・松原スロットスタジオ         ,防災,1,,,,,,,,,,,,
78964,140531,751,岡野消防設備株式会社                            ,アクトス大久保店                                ,防災,1,,,,,,,,,,,,
79030,140530,15,泉州防災株式会社                                ,5/30・31　プリマード東岸和田                    ,防災,1,,,,,,,,,,,,
79065,140530,149,天海                                            ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
79037,140529,15,泉州防災株式会社                                ,5/29　イオンモールりんくう泉南                  ,防災,1,,,,,,,,,,,,
79044,140529,15,泉州防災株式会社                                ,5/29　123鶴橋店・社員寮                         ,防災,1,,,,,,,,,,,,
79014,140529,794,八木　正員                                      ,ティエラことぶき                                ,防災,1,,,,,,,,,,,,
79026,140528,15,泉州防災株式会社                                ,5/20～28                                        ,防災,1,,,,,,,,,,,,
78980,140528,45,株式会社アイワライフネット                      ,ヴェルセンチュリー                              ,防災,1,,,,,,,,,,,,
79016,140528,736,社会福祉法人 聖アンナ福祉会                     ,特別養護老人ホーム　聖アンナの家                ,防災,1,,,,,,,,,,,,
79042,140527,15,泉州防災株式会社                                ,5/27　123塩屋店                                 ,防災,1,,,,,,,,,,,,
78981,140527,45,株式会社アイワライフネット                      ,グリーンフルブルーム　203号室                   ,防災,1,,,,,,,,,,,,
78937,140527,771,　　坂上　哲也                                  ,粉末ABC消火器10型　PP-10C                       ,防災,1,,,,,,,,,,,,
79040,140526,15,泉州防災株式会社                                ,5/26　アルモニー和泉中央                        ,防災,1,,,,,,,,,,,,
79002,140526,19,身体障害者授産施設小倉園                        ,発電機修理及び取付                              ,電気,1,,,,,,,,,,,,
78979,140526,45,株式会社アイワライフネット                      ,ラフィーネ和歌山壱番館　205号室                 ,防災,1,,,,,,,,,,,,
79001,140526,152,有限会社いわでん                                ,養護老人ホームなぎ園                            ,防災,1,,,,,,,,,,,,
78949,140526,291,株式会社　ドゥ・オペレーション                  ,ホテル　Ｄ－ＣＵＢＥ                            ,電気,1,,,,,,,,,,,,
78961,140526,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
78969,140526,751,岡野消防設備株式会社                            ,島忠ホームズ寝屋川店                            ,防災,1,,,,,,,,,,,,
78939,140525,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
79011,140524,53,紀北防災                                        ,有田かまぼこ                                    ,防災,1,,,,,,,,,,,,
78982,140523,45,株式会社アイワライフネット                      ,グリーンフル藤井　103号室                       ,防災,1,,,,,,,,,,,,
78983,140523,45,株式会社アイワライフネット                      ,セレーナきい　403号室                           ,防災,1,,,,,,,,,,,,
78959,140522,141,株式会社オーティーエル                          ,上原歯科                                        ,防災,1,,,,,,,,,,,,
79066,140522,432,国土建設株式会社                                ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
79076,140522,655,長山接骨院                                      ,洗面室スイッチ不良取替                          ,電気,1,,,,,,,,,,,,
78966,140522,751,岡野消防設備株式会社                            ,大阪市交通局　四天王寺前夕陽ヶ丘駅              ,防災,1,,,,,,,,,,,,
78985,140521,45,株式会社アイワライフネット                      ,パールハイツ　205号室                           ,防災,1,,,,,,,,,,,,
78986,140521,45,株式会社アイワライフネット                      ,メゾンベルエール鷹匠　203号室                   ,防災,1,,,,,,,,,,,,
79012,140521,215,リコージャパン株式会社                          ,消防設備保守点検（総合点検）                    ,防災,1,,,,,,,,,,,,
78948,140521,751,岡野消防設備株式会社                            ,１２３難波店                                    ,電気,1,,,,,,,,,,,,
78932,140520,3,株式会社 アストライン                           ,4月12日,防災,1,,,,,,,,,,,,
79025,140520,15,泉州防災株式会社                                ,5/20　123初島店　消防設備保守点検               ,防災,1,,,,,,,,,,,,
78908,140520,35,株式会社葵消防設備                              ,シーサイド観潮　撤去工事                        ,防災,1,,,,,,,,,,,,
78909,140520,35,株式会社葵消防設備                              ,シーサイド観潮　撤去工事                        ,防災,1,,,,,,,,,,,,
78923,140520,38,伸和電設株式会社                                ,見積番号：23                                    ,防災,1,,,,,,,,,,,,
78924,140520,38,伸和電設株式会社                                ,見積番号：24                                    ,防災,1,,,,,,,,,,,,
78891,140520,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
