売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
77004,121205,48,有限会社レインボーシステムズ                    ,エクロールプラザ　電球交換                      ,電気,1,,,,,,,,,,,,
76992,121205,152,有限会社いわでん                                ,シティライフ21                                  ,防災,1,,,,,,,,,,,,
77006,121204,48,有限会社レインボーシステムズ                    ,ＭＪプラザ                                      ,電気,1,,,,,,,,,,,,
76940,121204,118,株式会社たけでん                                ,大虎運輸　院庄営業所                            ,防災,1,,,,,,,,,,,,
76993,121203,410,岡本電気                                        ,泉鋼管工事株式会社　岩出センター                ,防災,1,,,,,,,,,,,,
76927,121130,53,紀北防災                                        ,消火器処分費                                    ,防災,1,,,,,,,,,,,,
76934,121130,133,大和計装株式会社                                ,三菱電機㈱２工場                                ,電気,1,,,,,,,,,,,,
76939,121130,207,ニッタン株式会社　和歌山営業所                  ,橋本カントリークラブ改修工事                    ,防災,1,,,,,,,,,,,,
76945,121130,624,株式会社アックスプラニング                      ,アミューズ宝塚小林                              ,防災,1,,,,,,,,,,,,
76924,121130,657,株式会社プラス                                  ,よってって貴志川店                              ,防災,1,,,,,,,,,,,,
76933,121130,657,株式会社プラス                                  ,よってって貴志川店 電球交換                     ,電気,1,,,,,,,,,,,,
76935,121129,628,興紀消防メンテナンス                            ,㈱平成建機                                      ,電気,1,,,,,,,,,,,,
76994,121129,668,ルミエール　デイサービスセンター                ,FY-14UWLM3　ﾊﾞｽ換気乾燥機                       ,電気,1,,,,,,,,,,,,
76958,121128,45,株式会社アイワライフネット                      ,ル・シェル                                      ,防災,1,,,,,,,,,,,,
76985,121127,35,株式会社葵消防設備                              ,シティハイツ堀止南                              ,防災,1,,,,,,,,,,,,
76989,121127,35,株式会社葵消防設備                              ,光電式ｽﾎﾟｯﾄ型感知器2種露出　ﾎｰﾁｷ                ,防災,1,,,,,,,,,,,,
76941,121127,45,株式会社アイワライフネット                      ,パティオス　06号                                ,防災,1,,,,,,,,,,,,
76928,121127,628,興紀消防メンテナンス                            ,粉末ＡＢＣ消火器１０型                          ,防災,1,,,,,,,,,,,,
76905,121125,15,泉州防災株式会社                                ,ライオンズマンション和歌山十番丁                ,防災,1,,,,,,,,,,,,
76906,121125,15,泉州防災株式会社                                ,ライオンズマンション和歌山田中町                ,防災,1,,,,,,,,,,,,
76907,121125,15,泉州防災株式会社                                ,ライオンズマンション和歌山塩屋                  ,防災,1,,,,,,,,,,,,
76908,121125,15,泉州防災株式会社                                ,ライオンズマンション和歌山三木町                ,防災,1,,,,,,,,,,,,
76909,121125,15,泉州防災株式会社                                ,１２３初島店                                    ,防災,1,,,,,,,,,,,,
76910,121125,15,泉州防災株式会社                                ,１２３塩屋店                                    ,防災,1,,,,,,,,,,,,
76911,121125,15,泉州防災株式会社                                ,１２３はりまや橋店                              ,防災,1,,,,,,,,,,,,
76912,121125,15,泉州防災株式会社                                ,１２３川西店 スプリンクラー工事                 ,防災,1,,,,,,,,,,,,
76916,121125,15,泉州防災株式会社                                ,１２３岩岡店　テナント分                        ,防災,1,,,,,,,,,,,,
76917,121125,15,泉州防災株式会社                                ,ダイキ打田店                                    ,電気,1,,,,,,,,,,,,
76918,121125,15,泉州防災株式会社                                ,１２３摂津店                                    ,防災,1,,,,,,,,,,,,
76921,121125,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
76936,121123,266,興紀防災設備                                    ,光電式スポット型感知器２種                      ,防災,1,,,,,,,,,,,,
76937,121123,363,ＩＳＥ設計工房                                  ,トイレ換気扇　取替費共                          ,電気,1,,,,,,,,,,,,
76898,121121,15,泉州防災株式会社                                ,粉末ＡＢＣ消火器１０型                          ,防災,1,,,,,,,,,,,,
76902,121121,15,泉州防災株式会社                                ,イオン泉南シネマ棟断線修理                      ,電気,1,,,,,,,,,,,,
76777,121120,19,身体障害者授産施設小倉園                        ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
76859,121120,45,株式会社アイワライフネット                      ,ﾒｿﾞﾝﾍﾞﾙｴｰﾙ鷹匠 消防設備保守点検(機器)           ,防災,1,,,,,,,,,,,,
76860,121120,47,ビジネスイン南海                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
76861,121120,47,ビジネスイン南海                                ,消防設備保守点検後改修工事                      ,防災,1,,,,,,,,,,,,
76877,121120,49,株式会社堀田組                                  ,10921-338                                       ,電気,1,,,,,,,,,,,,
76862,121120,73,廣久旅館                                        ,防火対象物点検                                  ,防災,1,,,,,,,,,,,,
76896,121120,83,潮風荘                                          ,エアコン取替工事                                ,電気,1,,,,,,,,,,,,
76866,121120,152,有限会社いわでん                                ,WING岩出店増築工事（駐車場棟）                  ,電気,1,,,,,,,,,,,,
