売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
79819,150120,152,有限会社いわでん                                ,アバンドール泉佐野フロント新築工事              ,防災,1,,,,,,,,,,,,
81230,150120,191,アルプデンキ                                    ,カルフールドルポ                                ,防災,1,,,,,,,,,,,,
79790,150120,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
79802,150120,433,医療法人三光会　かがやきくらぶ                  ,かがやきくらぶ様                                ,防災,1,,,,,,,,,,,,
79845,150120,572,村本建設株式会社                                ,㈱松源　本社2階間仕切り変更のため               ,防災,1,,,,,,,,,,,,
81190,150120,572,村本建設株式会社                                ,㈱松源　本社社屋・店舗新築工事                  ,防災,1,,,,,,,,,,,,
79912,150120,578,中矢電設                                        ,ＪＡ五條                                        ,防災,1,,,,,,,,,,,,
79975,150120,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
79814,150120,763,ＭＡＲＵＥＩ                                    ,換気扇取付工事VD-15ZX9-C(取付費込)              ,電気,1,,,,,,,,,,,,
79831,150119,15,泉州防災株式会社                                ,1/8・19　123和歌山インター店                    ,防災,1,,,,,,,,,,,,
79842,150119,15,泉州防災株式会社                                ,1/19　イオンモールりんくう泉南                  ,防災,1,,,,,,,,,,,,
79784,150119,45,株式会社アイワライフネット                      ,コーポ紀三井寺　２－Ａ                          ,防災,1,,,,,,,,,,,,
79785,150119,45,株式会社アイワライフネット                      ,フリューゲル21　307号室                         ,防災,1,,,,,,,,,,,,
79848,150119,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
79942,150119,494,新栄電気株式会社                                ,みさき公園                                      ,防災,1,,,,,,,,,,,,
79869,150119,628,興紀消防メンテナンス                            ,粉末ABC消火器10型                               ,防災,1,,,,,,,,,,,,
79820,150117,19,身体障害者授産施設小倉園                        ,LEDシーリングライト器具取替(工事費込)           ,電気,1,,,,,,,,,,,,
79822,150117,38,伸和電設株式会社                                ,三菱電機2A工場撤去及び中継器移設                ,防災,1,,,,,,,,,,,,
79823,150117,38,伸和電設株式会社                                ,三菱電機3Aアーケード                            ,防災,1,,,,,,,,,,,,
