売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
72614,90720,264,紀南電設株式会社                                ,下津行政局庁舎建設（電気設備）工事              ,電気,1,,,,,,,,,,,,
72597,90720,286,株式会社　東洋エンタープライズ                  ,きのくにアバローム様　消防設備保守点検          ,防災,1,,,,,,,,,,,,
72610,90720,301,株式会社　小池組                                ,やすらぎの郷メゾンドシンフォニー新築工事        ,防災,1,,,,,,,,,,,,
72629,90720,304,ワールドハシモト                                ,感知器増設工事                                  ,防災,1,,,,,,,,,,,,
72657,90720,314,和歌山市長　大橋建一                            ,芦原第2大型共同作業場                           ,防災,1,,,,,,,,,,,,
72592,90717,45,株式会社アイワライフネット                      ,嶋田勝己一戸建                                  ,防災,1,,,,,,,,,,,,
72576,90717,48,有限会社レインボーシステムズ                    ,7月16日　エクロールプラザ                       ,防災,1,,,,,,,,,,,,
72582,90717,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
72577,90717,53,紀北防災                                        ,パチンコアイドル　消防設備保守点検              ,防災,1,,,,,,,,,,,,
72589,90717,272,　　山中                                        ,コードレスインターホン                          ,電気,1,,,,,,,,,,,,
72584,90717,302,ひらい電気                                      ,ファインビル                                    ,電気,1,,,,,,,,,,,,
72562,90716,45,株式会社アイワライフネット                      ,ジョイフル松島　 消防設備点検                   ,防災,1,,,,,,,,,,,,
72569,90715,129,小川電機株式会社                                ,ｽﾌﾟﾘﾝｸﾗｰ設備工事                                ,防災,1,,,,,,,,,,,,
72570,90715,129,小川電機株式会社                                ,電気設備工事追加                                ,電気,1,,,,,,,,,,,,
72566,90715,131,小川電機株式会社　和歌山営業所                  ,弱電設備工事                                    ,防災,1,,,,,,,,,,,,
72567,90715,131,小川電機株式会社　和歌山営業所                  ,電気設備工事                                    ,防災,1,,,,,,,,,,,,
72556,90715,266,興紀防災設備                                    ,光電式ｽﾎﾟｯﾄ型煙感知器　2種                      ,防災,1,,,,,,,,,,,,
72561,90714,15,泉州防災株式会社                                ,パチンコ岡崎１２３改修                          ,防災,1,,,,,,,,,,,,
72558,90714,40,三洋マリン建設株式会社                          ,小南自動車様                                    ,防災,1,,,,,,,,,,,,
72579,90714,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,電気,1,,,,,,,,,,,,
72542,90714,128,小川電機株式会社　御坊営業所                    ,クリスタル様                                    ,防災,1,,,,,,,,,,,,
72543,90714,128,小川電機株式会社　御坊営業所                    ,焼肉まっちゃん様                                ,防災,1,,,,,,,,,,,,
72540,90714,131,小川電機株式会社　和歌山営業所                  ,新栄電気㈱様                                    ,防災,1,,,,,,,,,,,,
72564,90714,131,小川電機株式会社　和歌山営業所                  ,自動火災警報設備　1F新倉庫                      ,防災,1,,,,,,,,,,,,
72560,90713,286,株式会社　東洋エンタープライズ                  ,アバローム紀の国消防点検に伴う修理              ,防災,1,,,,,,,,,,,,
72578,90711,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
72557,90711,148,坂田電工                                        ,和歌山王子コンテナー㈱様                        ,防災,1,,,,,,,,,,,,
72536,90710,131,小川電機株式会社　和歌山営業所                  ,1F　電気設備工事費                              ,防災,1,,,,,,,,,,,,
72538,90710,131,小川電機株式会社　和歌山営業所                  ,神戸植物防疫所関西空港支店改修工事              ,防災,1,,,,,,,,,,,,
73261,90710,378,積和不動産関西株式会社                          ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
72637,90709,15,泉州防災株式会社                                ,サンクス東成大今里店工事                        ,防災,1,,,,,,,,,,,,
72602,90709,281,有限会社　はなぶさ                              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
72535,90708,45,株式会社アイワライフネット                      ,ハイム真輝　熱感知器　取付                      ,防災,1,,,,,,,,,,,,
72546,90708,48,有限会社レインボーシステムズ                    ,7月8日　エクロールプラザ電球交換                ,防災,1,,,,,,,,,,,,
72617,90708,86,株式会社宮本工業                                ,松源高野口店　改修                              ,電気,1,,,,,,,,,,,,
72588,90708,197,パーラーゴリラ                                  ,消防設備保守点検に伴う修理                      ,防災,1,,,,,,,,,,,,
72530,90707,125,株式会社　ロンドンコーポレーション              ,ファースト　様分                                ,防災,1,,,,,,,,,,,,
72534,90707,126,株式会社狩谷電気店                              ,光電式ｽﾎﾟｯﾄ型感知器3種ﾍｯﾄﾞのみ                  ,防災,1,,,,,,,,,,,,
72533,90707,128,小川電機株式会社　御坊営業所                    ,消火栓ホース　40A15m                            ,防災,1,,,,,,,,,,,,
72531,90707,150,ファースト                                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
72532,90707,197,パーラーゴリラ                                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
72526,90706,35,葵消防設備                                      ,イニシエーター（コネクタ付）                    ,防災,1,,,,,,,,,,,,
72547,90706,35,葵消防設備                                      ,光電式ｽﾎﾟｯﾄ型煙感知器（ﾍﾞｰｽ共）                 ,防災,1,,,,,,,,,,,,
72525,90706,45,株式会社アイワライフネット                      ,ソレアード菖蒲　住宅警警器取付                  ,防災,1,,,,,,,,,,,,
72527,90706,45,株式会社アイワライフネット                      ,グリーンフル小倉                                ,防災,1,,,,,,,,,,,,
72580,90706,49,株式会社堀田組                                  ,三菱電機株式会社冷熱システム製作所              ,防災,1,,,,,,,,,,,,
72559,90706,60,有限会社梶本無線商会                            ,ＬＡＮ工事                                      ,電気,1,,,,,,,,,,,,
72612,90704,38,伸和電設株式会社                                ,キング化学幹線復旧工事                          ,電気,1,,,,,,,,,,,,
