売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2021/1/28,88132,396,   ,
2021/1/28,88133,396,   ,
2021/1/28,88134,396,   ,
2021/1/28,88135,396,   ,
2021/1/28,88161,419,   ,
2021/1/28,88178,751,   ,
2021/1/28,88158,764,   ,
2021/1/27,88256,132,   ,
2021/1/26,88271,38,   ,
2021/1/26,88254,60,   ,
2021/1/26,88125,267,   ,
2021/1/26,88128,1072,   ,
2021/1/25,88129,438,   ,
2021/1/25,88116,505,   ,
2021/1/25,88148,582,   ,
2021/1/23,88138,15,   ,
2021/1/22,88268,38,   ,
2021/1/22,88250,48,   ,
2021/1/22,88243,152,   ,
2021/1/21,88149,141,   ,
2021/1/21,88150,141,   ,
2021/1/21,88238,519,   ,
2021/1/21,88156,853,   ,
2021/1/20,88084,38,   ,
2021/1/20,88120,38,   ,
2021/1/20,88064,45,   ,
2021/1/20,88118,45,   ,
2021/1/20,88119,48,   ,
2021/1/20,88297,65,   ,
2021/1/20,88090,152,   ,
2021/1/20,88114,279,   ,
2021/1/20,88062,378,   ,
2021/1/20,88153,728,   ,
2021/1/20,88104,1070,   ,
2021/1/19,88168,751,   ,
2021/1/19,88097,872,   ,
2021/1/18,88146,15,   ,
2021/1/18,88117,45,   ,
2021/1/18,88159,259,   ,
2021/1/18,88157,616,   ,
2021/1/16,88207,45,   ,
2021/1/16,88174,751,   ,
2021/1/15,88056,314,   ,
2021/1/15,88067,634,   ,
2021/1/15,88068,634,   ,
2021/1/15,88070,634,   ,
2021/1/15,88071,634,   ,
2021/1/15,88151,688,   ,
2021/1/14,88219,42,   ,
2021/1/14,88257,104,   ,
2021/1/14,88230,580,   ,
2021/1/14,88155,657,   ,
2021/1/14,88055,1069,   ,
2021/1/13,88091,48,   ,
2021/1/13,88110,48,   ,
2021/1/13,88172,751,   ,
2021/1/12,88080,60,   ,
2021/1/12,88154,96,   ,
2021/1/12,88100,132,   ,
2021/1/12,88101,132,   ,
2021/1/12,88103,152,   ,
2021/1/12,88050,652,   ,
2021/1/12,88052,920,   ,
2021/1/9,88163,419,   ,
2021/1/8,88141,15,   ,
2021/1/6,88144,15,   ,
2021/1/6,88109,45,   ,
2021/1/6,88162,419,   ,
2021/1/6,88047,819,   ,
2020/12/29,88173,751,   ,
2020/12/28,88006,15,   ,
2020/12/28,88108,45,   ,
2020/12/28,88040,47,   ,
2020/12/28,88113,48,   ,
2020/12/28,88099,56,   ,
2020/12/28,87950,419,   ,
2020/12/28,88121,546,   ,
2020/12/28,88001,751,   ,
2020/12/28,88194,751,   ,
2020/12/28,87999,889,   ,
2020/12/25,88107,45,   ,
2020/12/25,88087,126,   ,
2020/12/25,88036,141,   ,
2020/12/25,88111,152,   ,
2020/12/25,88023,259,   ,
2020/12/25,88009,419,   ,
2020/12/25,87946,505,   ,
2020/12/24,88010,15,   ,
2020/12/24,88019,185,   ,
2020/12/24,87985,419,   ,
2020/12/24,88008,751,   ,
2020/12/24,88012,1055,   ,
2020/12/23,88015,207,   ,
2020/12/22,87991,15,   ,
2020/12/22,88106,45,   ,
2020/12/22,88079,60,   ,
2020/12/22,88085,98,   ,
2020/12/22,88016,207,   ,
2020/12/22,87978,1067,   ,
2020/12/22,87979,1067,   ,
2020/12/21,87989,15,   ,
2020/12/21,87990,15,   ,
2020/12/21,88102,152,   ,
2020/12/21,88094,269,   ,
2020/12/21,88096,519,   ,
2020/12/20,87966,19,   ,
2020/12/20,87955,45,   ,
2020/12/20,87921,378,   ,
2020/12/19,87953,45,   ,
2020/12/19,88037,437,   ,
2020/12/18,88051,38,   ,
2020/12/18,88105,45,   ,
2020/12/18,88347,135,   ,
2020/12/18,88346,203,   ,
2020/12/17,87965,17,   ,
2020/12/17,88147,320,   ,
2020/12/17,88000,639,   ,
2020/12/17,88020,834,   ,
2020/12/16,87974,354,   ,
2020/12/16,88236,578,   ,
2020/12/16,87962,586,   ,
2020/12/16,88086,844,   ,
2020/12/15,87964,546,   ,
2020/12/15,87923,634,   ,
2020/12/15,87924,634,   ,
2020/12/15,87925,634,   ,
2020/12/15,87926,634,   ,
2020/12/15,88235,972,   ,
2020/12/15,87994,1055,   ,
2020/12/14,87936,45,   ,
2020/12/14,87915,652,   ,
2020/12/14,88441,882,   ,
2020/12/11,88017,207,   ,
2020/12/11,88026,259,   ,
2020/12/10,88011,15,   ,
2020/12/10,87958,21,   ,
2020/12/10,87947,48,   ,
2020/12/10,87970,292,   ,
2020/12/10,87984,419,   ,
2020/12/10,88034,616,   ,
2020/12/10,88035,616,   ,
2020/12/10,87969,762,   ,
2020/12/9,87940,35,   ,
2020/12/9,87938,36,   ,
2020/12/9,87935,45,   ,
2020/12/9,87909,71,   ,
2020/12/9,87967,433,   ,
2020/12/8,87933,45,   ,
2020/12/8,87939,152,   ,
2020/12/8,87995,728,   ,
2020/12/5,87977,630,   ,
2020/12/4,88002,751,   ,
2020/12/4,88004,751,   ,
2020/12/4,88083,993,   ,
2020/12/3,88018,889,   ,
2020/12/2,87931,45,   ,
2020/12/2,87932,45,   ,
2020/12/2,88025,259,   ,
2020/12/2,87945,279,   ,
2020/12/1,87988,15,   ,
2020/12/1,88021,728,   ,
2020/12/1,88005,751,   ,
2020/11/30,87859,15,   ,
2020/11/30,87894,15,   ,
2020/11/30,87930,45,   ,
2020/11/30,87884,207,   ,
2020/11/30,87904,363,   ,
2020/11/30,87849,419,   ,
2020/11/30,87899,650,   ,
2020/11/30,87851,751,   ,
2020/11/30,87856,751,   ,
2020/11/30,87857,751,   ,
2020/11/30,87903,751,   ,
2020/11/30,87906,751,   ,
2020/11/30,87907,751,   ,
2020/11/30,87908,751,   ,
2020/11/30,87879,764,   ,
2020/11/30,87876,889,   ,
2020/11/30,87916,1065,   ,
2020/11/29,87948,38,   ,
2020/11/29,87929,45,   ,
2020/11/28,87928,45,   ,
2020/11/28,87937,126,   ,
