売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2018/5/16,84462,872,   ,
2018/5/15,84451,45,   ,
2018/5/15,84452,45,   ,
2018/5/15,84496,126,   ,
2018/5/15,84467,419,   ,
2018/5/15,84503,547,   ,
2018/5/15,84502,663,   ,
2018/5/15,84530,751,   ,
2018/5/15,84556,821,   ,
2018/5/14,84534,15,   ,
2018/5/14,84537,284,   ,
2018/5/14,84529,751,   ,
2018/5/14,84475,899,   ,
2018/5/12,84585,36,   ,
2018/5/12,84453,45,   ,
2018/5/12,84586,138,   ,
2018/5/11,84533,15,   ,
2018/5/11,84492,35,   ,
2018/5/11,84505,800,   ,
2018/5/10,84532,15,   ,
2018/5/10,84468,284,   ,
2018/5/9,84498,582,   ,
2018/5/8,84472,112,   ,
2018/5/8,84526,751,   ,
2018/5/8,84527,751,   ,
2018/5/8,84578,751,   ,
2018/5/8,84449,888,   ,
2018/5/7,84454,45,   ,
2018/5/7,84470,60,   ,
2018/5/7,84520,751,   ,
2018/5/6,84478,39,   ,
2018/5/6,84544,616,   ,
2018/5/2,84495,19,   ,
2018/5/2,84479,36,   ,
2018/5/2,84456,45,   ,
2018/5/2,84486,60,   ,
2018/5/2,84490,152,   ,
2018/5/1,84523,751,   ,
2018/4/30,84414,15,   ,
2018/4/30,84450,207,   ,
2018/4/30,84407,739,   ,
2018/4/30,84440,751,   ,
2018/4/30,84443,751,   ,
2018/4/30,84444,751,   ,
2018/4/30,84409,889,   ,
2018/4/30,84408,973,   ,
2018/4/30,84413,973,   ,
2018/4/28,84545,616,   ,
2018/4/27,84455,45,   ,
2018/4/27,84435,751,   ,
2018/4/26,85752,15,   ,
2018/4/26,84458,45,   ,
2018/4/26,84459,45,   ,
2018/4/26,84471,152,   ,
2018/4/26,84491,152,   ,
2018/4/26,84411,419,   ,
2018/4/26,84423,751,   ,
2018/4/26,84436,751,   ,
2018/4/25,84415,15,   ,
2018/4/25,84497,38,   ,
2018/4/25,84489,48,   ,
2018/4/25,84519,707,   ,
2018/4/25,84577,751,   ,
2018/4/24,84469,35,   ,
2018/4/24,84487,60,   ,
2018/4/24,84421,289,   ,
2018/4/24,84638,372,   ,
2018/4/24,84425,751,   ,
2018/4/23,84460,45,   ,
2018/4/23,84461,45,   ,
2018/4/23,84446,141,   ,
2018/4/23,84494,433,   ,
2018/4/23,84463,601,   ,
2018/4/23,84437,751,   ,
2018/4/21,84507,38,   ,
2018/4/21,84508,38,   ,
2018/4/21,84457,45,   ,
2018/4/21,84420,279,   ,
2018/4/21,84410,396,   ,
2018/4/21,84500,881,   ,
2018/4/20,84376,36,   ,
2018/4/20,84419,42,   ,
2018/4/20,84388,45,   ,
2018/4/20,84369,48,   ,
2018/4/20,84397,48,   ,
2018/4/20,84389,374,   ,
2018/4/20,84406,378,   ,
2018/4/20,84412,592,   ,
2018/4/20,84403,754,   ,
2018/4/19,84464,494,   ,
2018/4/19,84383,668,   ,
2018/4/19,84426,751,   ,
2018/4/19,84428,751,   ,
2018/4/19,84466,762,   ,
2018/4/18,84418,15,   ,
2018/4/18,84360,60,   ,
2018/4/17,84390,36,   ,
2018/4/17,84445,751,   ,
2018/4/16,84379,36,   ,
2018/4/16,84378,60,   ,
2018/4/16,84427,751,   ,
2018/4/13,84382,19,   ,
2018/4/13,84353,252,   ,
2018/4/12,84417,15,   ,
2018/4/12,84402,271,   ,
2018/4/12,84429,751,   ,
2018/4/11,84370,354,   ,
2018/4/11,84540,834,   ,
2018/4/10,84356,45,   ,
2018/4/10,84391,126,   ,
2018/4/10,84422,751,   ,
2018/4/10,84433,751,   ,
2018/4/9,84374,35,   ,
2018/4/9,84393,152,   ,
2018/4/9,84395,262,   ,
2018/4/7,84368,48,   ,
2018/4/7,84363,88,   ,
2018/4/6,84431,751,   ,
2018/4/5,84432,751,   ,
2018/4/4,84364,3,   ,
2018/4/4,84439,15,   ,
2018/4/4,84385,668,   ,
2018/4/3,84465,21,   ,
2018/4/3,84434,751,   ,
2018/4/2,84366,48,   ,
2018/4/2,84441,616,   ,
2018/4/1,84430,751,   ,
2018/3/31,84330,15,   ,
2018/3/31,84359,45,   ,
2018/3/31,84384,152,   ,
2018/3/31,84318,243,   ,
2018/3/31,84307,259,   ,
2018/3/31,84343,349,   ,
2018/3/31,84332,396,   ,
2018/3/31,84338,439,   ,
2018/3/31,84354,688,   ,
2018/3/31,84317,739,   ,
2018/3/31,84349,750,   ,
2018/3/31,84333,751,   ,
2018/3/31,84335,751,   ,
2018/3/31,84336,751,   ,
2018/3/31,84296,973,   ,
2018/3/30,84375,35,   ,
2018/3/30,84377,37,   ,
2018/3/30,84329,314,   ,
2018/3/30,84342,423,   ,
2018/3/30,84313,751,   ,
2018/3/30,84321,751,   ,
2018/3/30,84322,751,   ,
2018/3/30,84334,751,   ,
2018/3/30,84337,751,   ,
2018/3/29,84358,45,   ,
2018/3/29,84319,222,   ,
2018/3/29,84371,354,   ,
2018/3/29,84302,616,   ,
2018/3/29,84326,707,   ,
2018/3/29,84324,751,   ,
2018/3/29,84327,975,   ,
2018/3/28,84306,15,   ,
2018/3/28,84331,750,   ,
2018/3/28,84365,845,   ,
2018/3/27,84316,751,   ,
2018/3/26,84400,38,   ,
2018/3/25,84398,38,   ,
2018/3/24,84297,15,   ,
2018/3/24,84357,45,   ,
2018/3/24,84392,292,   ,
2018/3/24,84394,292,   ,
2018/3/24,84312,751,   ,
2018/3/23,84367,48,   ,
2018/3/23,84351,141,   ,
2018/3/23,84372,152,   ,
2018/3/23,84328,616,   ,
2018/3/22,84289,419,   ,
2018/3/21,84325,751,   ,
2018/3/20,84381,19,   ,
2018/3/20,84299,27,   ,
2018/3/20,84214,35,   ,
2018/3/20,84262,45,   ,
2018/3/20,84269,45,   ,
2018/3/20,84270,45,   ,
2018/3/20,84271,45,   ,
2018/3/20,84281,48,   ,
2018/3/20,84282,48,   ,
2018/3/20,84346,91,   ,
2018/3/20,84347,91,   ,
2018/3/20,84348,91,   ,
2018/3/20,84339,152,   ,
2018/3/20,84350,181,   ,
2018/3/20,84340,221,   ,
2018/3/20,84235,229,   ,
2018/3/20,84284,378,   ,
2018/3/20,84293,452,   ,
2018/3/20,84225,582,   ,
2018/3/20,84227,582,   ,
2018/3/20,84283,697,   ,
2018/3/20,84308,751,   ,
2018/3/20,84286,763,   ,
2018/3/19,84290,688,   ,
2018/3/19,84320,751,   ,
2018/3/18,84275,363,   ,
2018/3/17,84278,42,   ,
2018/3/16,84301,15,   ,
2018/3/16,84259,45,   ,
2018/3/16,84260,45,   ,
2018/3/16,84267,48,   ,
2018/3/16,84243,494,   ,
2018/3/15,84257,45,   ,
2018/3/15,84258,45,   ,
2018/3/15,84209,131,   ,
2018/3/15,84264,131,   ,
2018/3/15,84276,140,   ,
2018/3/15,84277,140,   ,
2018/3/14,84219,42,   ,
2018/3/14,84268,45,   ,
2018/3/14,84279,438,   ,
2018/3/14,84217,546,   ,
2018/3/14,84230,872,   ,
2018/3/13,84218,36,   ,
2018/3/13,84212,71,   ,
2018/3/13,84206,96,   ,
2018/3/13,84207,96,   ,
2018/3/13,84204,186,   ,
2018/3/13,84205,186,   ,
2018/3/13,84208,225,   ,
2018/3/13,84226,292,   ,
2018/3/13,84314,751,   ,
2018/3/13,84315,751,   ,
2018/3/13,84361,854,   ,
2018/3/12,84291,141,   ,
2018/3/12,84292,141,   ,
2018/3/11,84399,38,   ,
2018/3/10,84304,437,   ,
2018/3/10,84242,578,   ,
2018/3/10,84309,751,   ,
2018/3/10,84311,751,   ,
2018/3/9,84298,15,   ,
2018/3/9,84248,45,   ,
2018/3/9,84249,45,   ,
2018/3/8,84341,221,   ,
2018/3/8,84280,292,   ,
2018/3/8,84228,578,   ,
2018/3/7,84274,35,   ,
2018/3/7,84273,555,   ,
2018/3/6,84246,45,   ,
2018/3/6,84263,45,   ,
2018/3/6,84362,126,   ,
2018/3/6,84220,292,   ,
2018/3/6,84305,437,   ,
2018/3/6,84216,663,   ,
2018/3/5,84266,48,   ,
2018/3/5,84261,697,   ,
2018/3/5,84310,751,   ,
2018/3/5,84323,751,   ,
2018/3/4,84231,152,   ,
2018/3/4,84233,754,   ,
2018/3/3,84247,45,   ,
2018/3/3,84239,231,   ,
2018/3/2,84294,141,   ,
2018/3/2,84213,292,   ,
2018/3/1,84250,45,   ,
2018/3/1,84265,48,   ,
2018/3/1,84303,776,   ,
2018/2/28,84182,15,   ,
2018/2/28,84176,222,   ,
2018/2/28,84215,699,   ,
2018/2/28,84236,707,   ,
2018/2/28,84185,739,   ,
2018/2/28,84188,751,   ,
2018/2/28,84189,751,   ,
2018/2/28,84198,751,   ,
2018/2/28,84223,803,   ,
2018/2/28,84186,889,   ,
2018/2/28,84177,973,   ,
2018/2/27,84254,45,   ,
2018/2/27,84194,141,   ,
2018/2/27,84232,152,   ,
2018/2/27,84179,751,   ,
2018/2/26,84251,45,   ,
2018/2/26,84252,45,   ,
2018/2/26,84197,751,   ,
2018/2/25,84064,66,   ,
2018/2/24,84272,519,   ,
2018/2/23,84253,45,   ,
2018/2/23,84193,705,   ,
2018/2/22,84183,15,   ,
2018/2/22,84224,732,   ,
2018/2/22,84200,751,   ,
2018/2/21,84178,15,   ,
2018/2/21,84191,15,   ,
2018/2/21,84245,45,   ,
2018/2/21,84255,45,   ,
2018/2/21,84256,45,   ,
2018/2/21,84229,762,   ,
2018/2/20,84144,45,   ,
2018/2/20,84146,48,   ,
2018/2/20,84199,152,   ,
2018/2/20,84152,378,   ,
2018/2/20,84575,494,   ,
2018/2/20,84169,763,   ,
2018/2/20,84118,881,   ,
2018/2/20,84156,881,   ,
2018/2/20,84222,956,   ,
2018/2/19,84142,45,   ,
2018/2/18,84190,506,   ,
2018/2/17,84148,48,   ,
2018/2/17,84150,152,   ,
2018/2/17,84168,886,   ,
2018/2/16,84127,60,   ,
2018/2/16,84126,292,   ,
2018/2/15,84145,48,   ,
2018/2/15,84147,48,   ,
2018/2/15,84112,131,   ,
2018/2/15,84113,131,   ,
2018/2/15,84120,152,   ,
2018/2/14,84141,45,   ,
2018/2/14,84518,555,   ,
2018/2/14,84166,751,   ,
2018/2/13,84140,45,   ,
2018/2/13,84187,141,   ,
2018/2/13,84163,419,   ,
2018/2/13,84192,616,   ,
2018/2/10,84117,19,   ,
2018/2/10,84137,45,   ,
2018/2/10,84138,45,   ,
2018/2/10,84139,45,   ,
2018/2/10,84167,751,   ,
2018/2/10,84172,751,   ,
2018/2/9,84122,519,   ,
2018/2/9,84151,546,   ,
2018/2/8,84181,15,   ,
2018/2/8,84158,419,   ,
2018/2/7,84196,223,   ,
2018/2/7,84121,292,   ,
2018/2/7,84157,437,   ,
2018/2/6,84159,207,   ,
2018/2/6,84155,220,   ,
2018/2/6,84123,354,   ,
2018/2/5,84136,45,   ,
2018/2/5,84171,751,   ,
2018/2/3,84161,396,   ,
2018/2/3,84165,751,   ,
2018/2/2,84116,19,   ,
2018/2/2,84203,146,   ,
2018/2/2,84125,546,   ,
2018/2/1,84164,419,   ,
2018/2/1,84162,607,   ,
2018/2/1,84124,763,   ,
2018/1/31,84091,15,   ,
2018/1/31,84134,45,   ,
2018/1/31,84135,45,   ,
2018/1/31,84115,65,   ,
2018/1/31,84078,141,   ,
2018/1/31,84105,202,   ,
2018/1/31,84104,207,   ,
2018/1/31,84065,396,   ,
2018/1/31,84098,419,   ,
2018/1/31,84101,616,   ,
2018/1/31,84108,616,   ,
2018/1/31,84069,739,   ,
2018/1/31,84095,751,   ,
2018/1/31,84096,751,   ,
2018/1/31,84107,751,   ,
2018/1/31,84068,889,   ,
2018/1/30,84133,45,   ,
2018/1/30,84073,141,   ,
2018/1/30,84070,317,   ,
2018/1/30,84119,663,   ,
2018/1/30,84076,834,   ,
2018/1/29,84066,199,   ,
2018/1/29,84067,828,   ,
2018/1/27,84075,259,   ,
2018/1/26,84132,45,   ,
2018/1/26,84149,152,   ,
2018/1/26,84074,259,   ,
2018/1/26,84086,657,   ,
2018/1/26,84097,751,   ,
2018/1/26,84077,834,   ,
2018/1/25,84160,42,   ,
2018/1/25,84062,164,   ,
2018/1/25,84080,607,   ,
2018/1/24,84087,15,   ,
2018/1/24,84099,141,   ,
2018/1/23,84131,45,   ,
2018/1/23,84055,209,   ,
2018/1/22,84088,15,   ,
2018/1/22,84129,45,   ,
2018/1/22,84026,118,   ,
2018/1/21,84130,45,   ,
2018/1/21,84102,729,   ,
2018/1/20,84035,45,   ,
2018/1/20,84060,213,   ,
2018/1/20,84056,374,   ,
2018/1/20,84061,378,   ,
2018/1/19,84089,15,   ,
2018/1/19,84054,206,   ,
2018/1/18,84042,48,   ,
2018/1/18,84043,48,   ,
2018/1/18,84044,48,   ,
2018/1/18,84048,663,   ,
2018/1/17,84084,216,   ,
2018/1/16,84039,185,   ,
2018/1/16,84040,819,   ,
2018/1/15,84090,15,   ,
2018/1/15,84025,45,   ,
2018/1/15,84028,45,   ,
2018/1/15,84029,45,   ,
2018/1/15,84030,45,   ,
2018/1/15,84031,45,   ,
2018/1/13,84032,45,   ,
2018/1/13,84033,45,   ,
2018/1/12,84037,122,   ,
2018/1/12,84051,763,   ,
2018/1/11,84106,751,   ,
2018/1/9,84024,199,   ,
2018/1/9,84036,354,   ,
2018/1/9,84022,719,   ,
2018/1/5,84079,141,   ,
2017/12/29,84109,616,   ,
2017/12/28,83983,15,   ,
2017/12/28,84020,207,   ,
2017/12/28,84063,547,   ,
2017/12/28,84019,607,   ,
2017/12/28,84003,739,   ,
2017/12/28,83993,751,   ,
2017/12/28,84011,751,   ,
2017/12/28,84018,751,   ,
2017/12/28,84009,889,   ,
2017/12/27,84034,45,   ,
2017/12/27,84049,152,   ,
2017/12/27,83984,419,   ,
2017/12/26,84038,126,   ,
2017/12/26,83998,751,   ,
2017/12/26,84103,751,   ,
2017/12/25,83979,118,   ,
2017/12/25,83977,164,   ,
2017/12/25,84007,196,   ,
2017/12/25,84010,438,   ,
2017/12/25,84050,707,   ,
2017/12/25,84001,751,   ,
2017/12/25,84012,751,   ,
2017/12/23,83946,192,   ,
2017/12/23,83944,194,   ,
2017/12/22,84057,668,   ,
2017/12/22,84008,772,   ,
2017/12/20,83963,37,   ,
2017/12/20,83964,37,   ,
2017/12/20,83978,37,   ,
2017/12/20,83971,38,   ,
2017/12/20,83929,45,   ,
2017/12/20,83943,45,   ,
2017/12/20,83950,48,   ,
2017/12/20,83952,48,   ,
2017/12/20,83958,112,   ,
2017/12/20,83991,135,   ,
2017/12/20,83959,152,   ,
2017/12/20,83990,203,   ,
2017/12/20,83936,349,   ,
2017/12/20,83947,378,   ,
2017/12/20,83923,433,   ,
2017/12/20,83939,620,   ,
2017/12/20,83995,751,   ,
2017/12/20,84000,751,   ,
2017/12/20,84013,751,   ,
2017/12/20,84021,751,   ,
2017/12/19,83931,45,   ,
2017/12/19,83932,45,   ,
2017/12/19,83968,60,   ,
2017/12/19,83960,152,   ,
2017/12/19,84045,844,   ,
2017/12/18,83922,736,   ,
2017/12/18,84017,751,   ,
2017/12/18,83942,882,   ,
2017/12/18,84002,885,   ,
2017/12/16,83928,36,   ,
2017/12/16,83973,38,   ,
2017/12/16,83915,45,   ,
2017/12/16,83927,190,   ,
2017/12/16,83926,332,   ,
2017/12/15,83992,21,   ,
2017/12/15,83974,38,   ,
2017/12/15,84046,38,   ,
2017/12/15,83985,42,   ,
2017/12/15,83916,45,   ,
2017/12/15,83898,113,   ,
2017/12/15,83899,113,   ,
2017/12/15,83900,113,   ,
2017/12/15,83901,113,   ,
2017/12/15,83902,113,   ,
2017/12/15,83903,113,   ,
2017/12/15,83988,419,   ,
2017/12/15,83957,582,   ,
2017/12/14,83895,15,   ,
2017/12/14,83914,45,   ,
2017/12/14,83920,578,   ,
2017/12/14,83949,972,   ,
2017/12/13,83967,60,   ,
2017/12/13,84114,519,   ,
2017/12/12,83982,15,   ,
2017/12/12,83948,126,   ,
2017/12/12,83989,607,   ,
2017/12/12,83994,751,   ,
2017/12/9,83953,48,   ,
2017/12/9,83954,48,   ,
2017/12/9,83955,48,   ,
2017/12/9,84004,705,   ,
2017/12/8,83907,98,   ,
2017/12/8,84047,138,   ,
2017/12/8,83893,518,   ,
2017/12/7,83970,38,   ,
2017/12/7,83951,48,   ,
2017/12/7,83940,60,   ,
2017/12/7,83897,547,   ,
2017/12/6,83938,349,   ,
2017/12/6,83996,751,   ,
2017/12/5,83904,138,   ,
2017/12/5,83986,183,   ,
2017/12/5,83997,751,   ,
2017/12/4,83921,546,   ,
2017/12/2,83913,36,   ,
2017/12/1,83924,152,   ,
2017/12/1,83935,483,   ,
2017/11/30,83885,15,   ,
2017/11/30,83889,185,   ,
2017/11/30,83894,207,   ,
2017/11/30,83849,259,   ,
2017/11/30,83884,259,   ,
2017/11/30,83848,739,   ,
2017/11/30,83877,751,   ,
2017/11/30,83878,751,   ,
2017/11/30,83881,751,   ,
2017/11/30,83896,751,   ,
2017/11/30,83870,889,   ,
2017/11/30,83853,973,   ,
2017/11/29,84027,423,   ,
2017/11/28,83843,45,   ,
2017/11/28,83880,47,   ,
2017/11/28,83956,48,   ,
2017/11/28,83888,834,   ,
2017/11/27,83917,45,   ,
2017/11/27,83852,175,   ,
2017/11/27,83912,488,   ,
2017/11/26,83969,38,   ,
2017/11/26,83972,38,   ,
2017/11/26,83975,38,   ,
2017/11/25,83887,164,   ,
2017/11/25,83846,419,   ,
2017/11/24,83918,45,   ,
2017/11/24,83909,972,   ,
2017/11/22,83857,15,   ,
2017/11/22,83891,42,   ,
2017/11/22,83847,259,   ,
2017/11/20,83834,36,   ,
2017/11/20,83812,45,   ,
2017/11/20,83823,48,   ,
2017/11/20,83824,48,   ,
2017/11/20,83825,48,   ,
2017/11/20,83827,48,   ,
2017/11/20,83819,152,   ,
2017/11/20,83804,378,   ,
2017/11/20,83876,751,   ,
2017/11/20,83910,814,   ,
2017/11/18,83919,45,   ,
2017/11/18,83826,48,   ,
2017/11/18,83835,419,   ,
2017/11/17,83844,42,   ,
2017/11/17,83810,45,   ,
2017/11/17,83811,45,   ,
2017/11/16,83859,751,   ,
2017/11/15,83831,152,   ,
2017/11/15,83874,751,   ,
2017/11/14,83817,60,   ,
2017/11/14,83783,71,   ,
2017/11/14,83787,131,   ,
2017/11/14,83875,751,   ,
2017/11/13,83800,35,   ,
2017/11/13,83821,48,   ,
2017/11/13,83816,132,   ,
2017/11/13,83818,152,   ,
2017/11/13,83911,640,   ,
2017/11/12,83855,15,   ,
2017/11/12,83908,37,   ,
2017/11/10,83981,15,   ,
2017/11/10,83809,45,   ,
2017/11/10,83839,183,   ,
2017/11/10,83873,751,   ,
2017/11/10,83786,763,   ,
2017/11/8,83781,42,   ,
2017/11/8,83845,42,   ,
2017/11/8,83842,419,   ,
2017/11/8,83867,751,   ,
2017/11/8,83868,751,   ,
2017/11/7,83815,19,   ,
2017/11/7,83820,169,   ,
2017/11/7,83871,419,   ,
2017/11/6,83976,693,   ,
2017/11/2,83801,36,   ,
2017/11/2,83808,45,   ,
2017/11/2,83780,71,   ,
2017/11/2,83865,751,   ,
2017/11/2,83866,751,   ,
2017/11/2,83872,751,   ,
2017/11/1,83828,172,   ,
2017/11/1,83860,751,   ,
2017/11/1,83861,751,   ,
2017/11/1,83862,751,   ,
2017/11/1,83863,751,   ,
2017/11/1,83864,751,   ,
2017/10/31,83743,15,   ,
2017/10/31,83773,56,   ,
2017/10/31,83675,120,   ,
2017/10/31,83750,396,   ,
2017/10/31,83751,419,   ,
2017/10/31,83734,688,   ,
2017/10/31,83767,751,   ,
2017/10/31,83779,751,   ,
2017/10/31,83738,973,   ,
2017/10/30,83788,36,   ,
2017/10/30,83832,38,   ,
2017/10/30,83753,751,   ,
2017/10/30,83892,751,   ,
2017/10/30,83731,889,   ,
2017/10/28,83833,38,   ,
2017/10/28,83822,48,   ,
2017/10/28,83830,126,   ,
2017/10/27,83774,42,   ,
2017/10/27,83890,186,   ,
2017/10/27,83730,750,   ,
2017/10/26,83806,45,   ,
2017/10/26,83814,332,   ,
2017/10/26,83754,751,   ,
2017/10/25,83807,45,   ,
2017/10/25,83802,292,   ,
2017/10/25,83782,586,   ,
2017/10/25,83777,616,   ,
2017/10/25,83760,751,   ,
2017/10/24,83795,433,   ,
2017/10/24,83752,438,   ,
2017/10/24,83794,582,   ,
2017/10/24,83761,751,   ,
2017/10/23,83805,45,   ,
2017/10/23,83799,494,   ,
2017/10/21,83829,126,   ,
2017/10/20,83720,38,   ,
2017/10/20,83684,45,   ,
2017/10/20,83685,45,   ,
2017/10/20,83707,180,   ,
2017/10/20,83725,378,   ,
2017/10/20,83709,433,   ,
2017/10/20,83714,668,   ,
2017/10/19,83742,15,   ,
2017/10/19,83748,291,   ,
2017/10/19,83759,751,   ,
2017/10/18,83798,625,   ,
2017/10/18,83747,857,   ,
2017/10/17,83796,975,   ,
2017/10/17,83797,976,   ,
2017/10/16,83696,112,   ,
2017/10/16,83724,140,   ,
2017/10/16,83838,183,   ,
2017/10/16,83732,419,   ,
2017/10/16,83837,439,   ,
2017/10/16,83784,547,   ,
2017/10/16,83755,751,   ,
2017/10/15,83716,38,   ,
2017/10/15,83670,131,   ,
2017/10/15,83672,131,   ,
2017/10/14,83683,45,   ,
2017/10/14,83965,556,   ,
2017/10/13,83690,19,   ,
2017/10/13,83695,35,   ,
2017/10/13,83711,60,   ,
2017/10/13,83776,141,   ,
2017/10/13,83789,292,   ,
2017/10/12,83745,15,   ,
2017/10/12,83710,56,   ,
2017/10/12,83778,259,   ,
2017/10/12,83705,292,   ,
2017/10/12,83669,957,   ,
2017/10/11,83691,21,   ,
2017/10/10,83712,121,   ,
2017/10/10,83741,592,   ,
2017/10/10,83757,751,   ,
2017/10/10,83762,751,   ,
2017/10/10,83766,751,   ,
2017/10/7,83719,38,   ,
2017/10/7,83681,45,   ,
2017/10/7,83758,751,   ,
2017/10/6,83737,207,   ,
2017/10/6,83765,751,   ,
2017/10/5,83698,48,   ,
2017/10/5,83708,132,   ,
2017/10/5,83733,419,   ,
2017/10/5,83736,607,   ,
2017/10/5,83775,834,   ,
2017/10/4,83664,131,   ,
2017/10/4,83713,548,   ,
2017/10/3,83682,45,   ,
2017/10/3,83663,71,   ,
2017/10/3,83726,237,   ,
2017/10/2,83693,152,   ,
2017/10/1,83680,45,   ,
2017/9/30,83638,15,   ,
2017/9/30,83641,15,   ,
2017/9/30,83718,38,   ,
2017/9/30,83676,207,   ,
2017/9/30,83652,751,   ,
2017/9/30,83659,751,   ,
2017/9/29,83717,38,   ,
2017/9/29,83679,45,   ,
2017/9/29,83694,138,   ,
2017/9/29,83686,663,   ,
2017/9/29,83630,754,   ,
2017/9/29,83631,754,   ,
2017/9/28,83744,15,   ,
2017/9/28,83697,48,   ,
2017/9/28,83700,48,   ,
2017/9/28,83645,751,   ,
2017/9/28,83647,751,   ,
2017/9/27,83644,751,   ,
2017/9/26,83772,207,   ,
2017/9/25,83699,48,   ,
2017/9/25,83689,122,   ,
2017/9/25,83646,751,   ,
2017/9/24,83639,15,   ,
2017/9/23,83642,15,   ,
2017/9/23,83643,15,   ,
2017/9/23,83792,578,   ,
2017/9/23,83636,728,   ,
2017/9/22,83677,45,   ,
2017/9/22,83703,354,   ,
2017/9/21,83678,45,   ,
2017/9/21,83692,736,   ,
2017/9/21,83793,845,   ,
2017/9/20,83615,2,   ,
2017/9/20,83590,45,   ,
2017/9/20,83598,378,   ,
2017/9/19,83621,38,   ,
2017/9/19,83721,38,   ,
2017/9/19,83591,45,   ,
2017/9/19,83599,48,   ,
2017/9/19,83601,48,   ,
2017/9/19,83597,91,   ,
2017/9/19,83655,579,   ,
2017/9/19,83715,853,   ,
2017/9/18,83658,751,   ,
2017/9/17,83925,91,   ,
2017/9/15,83570,131,   ,
2017/9/15,83571,131,   ,
2017/9/15,83628,419,   ,
2017/9/15,83618,494,   ,
2017/9/15,83562,574,   ,
2017/9/15,83634,616,   ,
2017/9/14,83589,45,   ,
2017/9/14,83608,110,   ,
2017/9/14,83701,140,   ,
2017/9/14,83702,140,   ,
2017/9/14,83648,751,   ,
2017/9/13,83624,38,   ,
2017/9/13,83600,48,   ,
2017/9/13,83560,518,   ,
2017/9/12,83588,45,   ,
2017/9/12,83625,519,   ,
2017/9/11,83627,419,   ,
2017/9/11,83704,496,   ,
2017/9/9,83790,138,   ,
2017/9/8,83771,15,   ,
2017/9/8,83632,776,   ,
2017/9/7,83620,38,   ,
2017/9/7,83596,42,   ,
2017/9/7,83735,42,   ,
2017/9/7,83612,519,   ,
2017/9/7,83563,668,   ,
2017/9/7,83650,751,   ,
2017/9/6,83593,819,   ,
2017/9/6,83594,853,   ,
2017/9/5,83617,48,   ,
2017/9/5,83651,751,   ,
2017/9/4,83565,91,   ,
2017/9/4,83654,150,   ,
2017/9/4,83566,663,   ,
2017/9/4,83567,663,   ,
2017/9/4,83656,854,   ,
2017/9/2,83577,42,   ,
2017/9/2,83584,45,   ,
2017/9/2,83573,46,   ,
2017/9/2,83633,616,   ,
2017/9/1,83613,519,   ,
2017/9/1,83653,657,   ,
2017/9/1,83649,751,   ,
2017/8/31,83553,15,   ,
2017/8/31,83622,38,   ,
2017/8/31,83623,38,   ,
2017/8/31,83609,70,   ,
2017/8/31,83610,98,   ,
2017/8/31,83529,105,   ,
2017/8/31,83551,141,   ,
2017/8/31,83561,259,   ,
2017/8/31,83564,354,   ,
2017/8/31,83539,583,   ,
2017/8/31,83534,584,   ,
2017/8/31,83557,751,   ,
2017/8/30,83667,763,   ,
2017/8/29,83706,180,   ,
2017/8/29,83520,751,   ,
2017/8/29,83614,763,   ,
2017/8/29,83602,983,   ,
2017/8/28,83578,47,   ,
2017/8/28,83605,257,   ,
2017/8/28,83527,743,   ,
2017/8/26,83568,60,   ,
2017/8/26,83657,259,   ,
2017/8/26,83506,396,   ,
2017/8/25,83507,15,   ,
2017/8/25,83583,45,   ,
2017/8/25,83528,207,   ,
2017/8/25,83536,438,   ,
2017/8/25,83768,751,   ,
2017/8/24,83510,15,   ,
2017/8/24,83582,45,   ,
2017/8/24,83503,131,   ,
2017/8/24,83517,419,   ,
2017/8/24,83540,558,   ,
2017/8/23,83640,15,   ,
2017/8/23,83579,45,   ,
2017/8/23,83580,45,   ,
2017/8/23,83541,97,   ,
2017/8/23,83547,483,   ,
2017/8/23,83556,751,   ,
2017/8/22,83508,15,   ,
2017/8/22,83581,45,   ,
2017/8/22,83637,607,   ,
2017/8/21,83585,45,   ,
2017/8/20,83500,38,   ,
2017/8/20,83501,38,   ,
2017/8/20,83502,38,   ,
2017/8/20,83545,38,   ,
2017/8/20,83439,45,   ,
2017/8/20,83436,378,   ,
2017/8/20,83463,433,   ,
2017/8/20,83530,881,   ,
2017/8/19,83449,45,   ,
2017/8/19,83451,45,   ,
2017/8/19,83587,45,   ,
2017/8/19,83546,616,   ,
2017/8/18,83492,38,   ,
2017/8/18,83549,141,   ,
2017/8/18,83512,657,   ,
2017/8/17,83504,40,   ,
2017/8/17,83464,42,   ,
2017/8/17,83448,45,   ,
2017/8/17,83499,619,   ,
2017/8/17,83575,956,   ,
2017/8/16,83434,100,   ,
2017/8/16,83603,291,   ,
2017/8/11,83543,616,   ,
2017/8/11,83550,728,   ,
2017/8/10,83460,48,   ,
2017/8/10,83490,60,   ,
2017/8/10,83495,91,   ,
2017/8/10,83489,104,   ,
2017/8/10,83468,146,   ,
2017/8/10,83493,292,   ,
2017/8/10,83513,732,   ,
2017/8/9,83498,38,   ,
2017/8/9,83576,803,   ,
2017/8/8,83491,36,   ,
2017/8/8,83574,502,   ,
2017/8/8,83555,751,   ,
2017/8/7,83509,15,   ,
2017/8/7,83447,45,   ,
